#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6098.389095930551    All      1.2529305839380418         -0.09592184753506316      -0.013544775471996602      -0.4399700539781006        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4279.390470991513    All      -1.0669767101093934        0.7097325410334143        -0.08666066922198097       0.5748653874460575         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5292.29681801461     All      0.32759707171310604        0.4850985079564829        -0.009860684492769776      0.05086336236738352        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7429.806772619445    All      0.48370601935970126        -0.10050053061938513      0.11065945632509222        -0.18535706985750774       
Check         All|All|All                                All                  All      0.9972569649014555         0.9984086708354489        0.0005933271383448679      0.000401625977832748       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6098.389095930551    All      -0.0002642583695508602     -9.146163544590363e-07    -0.00034920807097556884    7.019617181522744e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4279.390470991513    All      -0.00038589861365790273    0.000174157483692531      -0.0006208636628158569     0.0001547224024575444      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5292.29681801461     All      2.359763500924233e-05      3.2200741359814064e-05    -0.0008727609610565346     -3.6144998473672156e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7429.806772619445    All      -0.00017578531073027392    2.2463993324354758e-05    -0.00020607845360990626    5.5379985638459785e-05     
MWEBV         All|All|All                                All                  All      -0.8523857576067431        -3.9649044969919167       0.015471976348139859       -1.0131593089985274        
Redshift      All|All|All                                All                  All      5.7904355077065315         -0.13207587015697797      0.7336293466570922         -1.8964182923034165        
