#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6098.389095930551    All      1.311944910186626         -0.1305060367965183        -0.04455032076394749       -0.4718418048624773        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4279.390470991513    All      -0.9571274998616153       0.6986363858681344         0.04341979321014211        0.5412743965470812         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5292.29681801461     All      0.06443143989306677       0.5817671522982515         -0.11471368560400652       0.1633941164421615         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7429.806772619445    All      0.5769921163658007        -0.15085170369548706       0.11779647391900183        -0.2318259619330243        
Check         All|All|All                                All                  All      0.9962409665838783        0.9990457976743805         0.0019522607611899279      0.001000746193741131       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6098.389095930551    All      -5.007521205269276e-05    -2.8913541942396852e-05    -0.0004896625800283259     -1.4958339854587867e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4279.390470991513    All      -0.0006065215991779983    0.00039399853898121844     -0.00031411285350589597    0.0003118849111494818      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5292.29681801461     All      -8.618884214032387e-06    0.00022243041263049235     -0.0007859705800546223     4.0186100122814815e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7429.806772619445    All      -0.0001862594887840326    2.548632801375671e-05      -0.000299408029374671      5.5611373541843446e-05     
MWEBV         All|All|All                                All                  All      -0.8265085372301999       -3.9774850358121228        0.04296368973198961        -1.0244594374881566        
Redshift      All|All|All                                All                  All      5.316464627613899         -1.9770463817063266        -1.464638374910121         -2.441096568952089         
