#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F110W_faint
@MAGSYS  VEGAHST
53485.89999999991  0.4742419852602452  0.021839554784212182  22.92
53490.700000000186  0.41686938347033564  0.023036952495460995  22.92
