#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                    dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            3827.108905108565     All      -0.7517313912769309       -0.07341405478964447       1.08475662934033         0.26935797873189304        
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5745.023547979684     All      2.829164662626655         -0.24513493778162143       1.5696695280390207       -0.9313533795006289        
Zeropoint     VEGAHST|ACSWF|F850LP           4495.1963984844015    All      -1.0939379948730965       1.3187132082068231         -2.73545362465366        0.6638091389258528         
Check         All|All|All                    All                   All      0.9834952764766277        1.0001642156355572         -0.08102746727430965     0.0018137381571169398      
Lambda        VEGAHST|ACSWF|F775W            3827.108905108565     All      -0.0014972460471931934    -0.00014965988471943496    0.0021659375850933316    0.0005356089940167899      
Lambda        VEGAHST|NICMOS2|F110W_faint    5745.023547979684     All      0.0005043723880198964     -4.223186352642335e-05     0.0002579144914412963    -0.00016653744827975966    
Lambda        VEGAHST|ACSWF|F850LP           4495.1963984844015    All      -0.000639768242075399     0.00013871313108751318     -0.007033419171988049    -6.029219980438131e-05     
MWEBV         All|All|All                    All                   All      -0.05449566602571254      -1.4734023680059494        -0.06896933851704824     -0.465262378292206         
Redshift      All|All|All                    All                   All      5.0924142548263145        1.3386593484989717         7.27979952127907         -0.897857450134238         
