#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            3827.108905108565     All      -0.7728298435045182       -0.06676112508898768       0.8376137618315127        0.2673686657284846         
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5745.023547979684     All      2.864745858982979         -0.21363765485933328       1.0327677601577767        -0.9566431044627677        
Zeropoint     VEGAHST|ACSWF|F850LP           4495.1963984844015    All      -1.1088426484619327       1.2558009994771524         -1.670477933827852        0.6956964726399575         
Check         All|All|All                    All                   All      0.9830733670165279        0.9754022195288314         0.1999035881614375        0.006422033905674418       
Lambda        VEGAHST|ACSWF|F775W            3827.108905108565     All      -0.0015480150044720413    -0.00012580265169778615    0.0015717581089056167     0.000533401698271767       
Lambda        VEGAHST|NICMOS2|F110W_faint    5745.023547979684     All      0.0005985425348432692     -5.0103578109774134e-05    0.00022979646877239308    -0.00020103061782776073    
Lambda        VEGAHST|ACSWF|F850LP           4495.1963984844015    All      -0.0006935602978185381    -2.3193338664615204e-05    -0.0046547747187474404    1.0639355923623268e-05     
MWEBV         All|All|All                    All                   All      -0.053706967225712665     -1.4748535106292593        -0.015272778549102473     -0.4635957374803823        
Redshift      All|All|All                    All                   All      5.084030984484424         1.5549556506647022         3.4200927670037737        -0.9969129070814999        
