#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3475.019404890112    All      -0.4471972010317792        0.19364341026655296        0.15022490144351502       0.21544671752315758        
Zeropoint     AB|MEGACAMPSF|r           4428.265923185709    All      -0.7517968372983612        0.4947804407308354         -0.8437354787679692       0.3683991913478778         
Zeropoint     AB|MEGACAMPSF|i           5414.459618891515    All      1.488300233412271          0.30986446774665666        0.6093185771149395        -0.35666420866477777       
Zeropoint     AB|MEGACAMPSF|z           6236.677206034368    All      0.702361205109999          0.002353838253377205       0.09046040091752741       -0.22397859672016956       
Check         All|All|All               All                  All      0.9916674001921297         1.0006421569974222         0.00626840070801285       0.0032031034860880436      
Lambda        AB|MEGACAMPSF|g           3475.019404890112    All      -0.0009265265571182571     0.00024622278735748166     -0.0006494584479229163    0.0003530206961271333      
Lambda        AB|MEGACAMPSF|r           4428.265923185709    All      -0.00025371162423423055    -0.00012606986880634845    -0.001644715431923013     -3.181897679008818e-05     
Lambda        AB|MEGACAMPSF|i           5414.459618891515    All      0.00020983201678346152     -4.040376896911563e-05     -0.0009111076617076215    -0.00012216857830831313    
Lambda        AB|MEGACAMPSF|z           6236.677206034368    All      -0.00020585026421157454    7.531979322976245e-06      -1.172596467181448e-05    6.898234083860332e-05      
MWEBV         All|All|All               All                  All      -0.3956650356833009        -2.5332211430280083        0.15504481759957128       -0.6893534095549076        
Redshift      All|All|All               All                  All      1.7832770069758646         0.38977173518439656        -2.7855039084747313       -0.5782147580627056        
