#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3475.019404890112    All      -0.4038660423774416        0.17953720660237593        0.14989953605692996        0.19672295942007068        
Zeropoint     AB|MEGACAMPSF|r           4428.265923185709    All      -0.8654062451403324        0.4613911069759169         -1.325728050966335         0.373020393854678          
Zeropoint     AB|MEGACAMPSF|i           5414.459618891515    All      1.4716703114449474         0.349128641616403          0.9073703915114528         -0.3251569792154643        
Zeropoint     AB|MEGACAMPSF|z           6236.677206034368    All      0.7899783970537773         0.010209407376571278       0.2747801662452476         -0.24173423677576777       
Check         All|All|All               All                  All      0.9923764209809507         1.000266362571267          0.006322042847295428       0.002852137283516576       
Lambda        AB|MEGACAMPSF|g           3475.019404890112    All      -0.0007432906224873158     0.00019267834552497961     -0.0006117533137644056     0.0002775761446340625      
Lambda        AB|MEGACAMPSF|r           4428.265923185709    All      -0.00020365135574101117    -0.00012527157899201624    -0.0012403488395567356     -2.982020008803839e-05     
Lambda        AB|MEGACAMPSF|i           5414.459618891515    All      0.00010811585274311786     -8.075358046833704e-05     -0.0016258080821502062     -0.00013407333565668833    
Lambda        AB|MEGACAMPSF|z           6236.677206034368    All      -0.0003058741491884675     -2.3504193841500925e-06    -0.00019148405922486846    9.032261032264184e-05      
MWEBV         All|All|All               All                  All      -0.3974291084894732        -2.521613346975471         0.21727501064612298        -0.6822207042434785        
Redshift      All|All|All               All                  All      1.4306589808384702         0.3649106161187632         -4.048208463485592         -0.5278022554453529        
