#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3568.17788691763     All      -1.2199057280378711        0.30311453348979           -1.2586778591529293       0.4399287931021856        
Zeropoint     AB|SDSS|SDSS_z            6722.309318460971    All      0.1694962018696991         0.026766797071253734       0.6961811983813382        -0.015424293361629326     
Zeropoint     AB|SDSS|SDSS_i            5654.146880173921    All      0.6834205582062791         0.1981335303774756         -3.0014989441766153       -0.29201706292540713      
Zeropoint     AB|SDSS|SDSS_r            4662.541815142576    All      1.367004060331758          0.47125259253704144        3.5826826258805977        -0.1318970514817832       
Check         All|All|All               All                  All      1.000015092369865          0.9992674534755608         0.018687020932391274      0.000590385333365917      
Lambda        AB|SDSS|SDSS_g            3568.17788691763     All      -0.001726880822674155      0.0003616284758472911      -0.0034091013883372177    0.0005281636509183216     
Lambda        AB|SDSS|SDSS_z            6722.309318460971    All      -6.157326048087305e-05     -1.04266787074758e-05      -0.000243504019257072     5.793658350220976e-06     
Lambda        AB|SDSS|SDSS_i            5654.146880173921    All      -7.636036364191318e-05     -2.1083625069488273e-05    0.0004673314511255953     3.8860308591736634e-05    
Lambda        AB|SDSS|SDSS_r            4662.541815142576    All      -0.00032369617810021014    -0.00011082333107528357    -0.001057419219997345     2.2151926347000103e-05    
MWEBV         All|All|All               All                  All      -0.6734990787564321        -2.761593643944238         -0.1082444906459629       -0.6849915506209456       
Redshift      All|All|All               All                  All      7.341877347510946          0.3540556410030149         3.1498103529083137        -2.1356018528206815       
