#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                    dc/dP                    
Zeropoint     AB|SDSS|SDSS_g            3568.17788691763     All      -1.3536042868654328        0.25196747686599963        -1.604247440534945       0.45139734996030784      
Zeropoint     AB|SDSS|SDSS_z            6722.309318460971    All      0.1752293758932737         0.0259799656803672         0.48720969581474427      -0.02687351201507704     
Zeropoint     AB|SDSS|SDSS_i            5654.146880173921    All      0.7162658937900347         0.22475063815905472        -1.563984719166045       -0.2298961440249929      
Zeropoint     AB|SDSS|SDSS_r            4662.541815142576    All      1.4263498152229426         0.48742339294021164        2.5723373156455396       -0.19104762541996487     
Check         All|All|All               All                  All      0.9642407980408182         0.9901214736456332         -0.10868514824070585     0.003580068500273037     
Lambda        AB|SDSS|SDSS_g            3568.17788691763     All      -0.0007257160323084286     0.0002666811056934833      0.0014242174683982425    0.0003868126811636714    
Lambda        AB|SDSS|SDSS_z            6722.309318460971    All      -2.9239454252979167e-05    -9.379312286014384e-06     2.394535157392662e-05    7.537672681626297e-06    
Lambda        AB|SDSS|SDSS_i            5654.146880173921    All      -0.00023408969049267916    -6.812717356647285e-05     0.0003899898937670835    7.146290956752338e-05    
Lambda        AB|SDSS|SDSS_r            4662.541815142576    All      -0.0006482134943091497     -0.00018230116057181783    -0.002420329392496396    4.375479054245132e-05    
MWEBV         All|All|All               All                  All      -0.8109166198716546        -2.763824032437867         -0.689118281726131       -0.6668783769259584      
Redshift      All|All|All               All                  All      6.758105007967895          1.1375258144710187         -2.204711903137979       -1.9291937212465082      
