#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5078.431387851692    All      0.6958576397690002         0.5888234294962658         -5.817704877087783        -0.2944820125191403       
Zeropoint     AB|SDSS|SDSS_z            7321.926107096197    All      0.13554776665038765        -0.0028285238091063647     0.4820970583279613        -0.02355993272591639      
Zeropoint     AB|SDSS|SDSS_g            3886.452346552672    All      -0.909350479836166         0.5102109790176224         2.5439103543707833        0.575920904691396         
Zeropoint     AB|SDSS|SDSS_i            6158.485677177978    All      1.1477871803866146         0.028344810441305324       2.9279684362875726        -0.23397742481234915      
Check         All|All|All               All                  All      1.0698421069698365         1.124550695146087          0.13627097189853465       0.023901534633990168      
Lambda        AB|SDSS|SDSS_r            5078.431387851692    All      -1.9719027805068366e-05    -6.0216739659107936e-05    7.660571848500518e-05     -9.772875707359563e-06    
Lambda        AB|SDSS|SDSS_z            7321.926107096197    All      -3.432006169261609e-05     3.131174490741056e-06      -0.0001528775699532319    5.376875928262009e-06     
Lambda        AB|SDSS|SDSS_g            3886.452346552672    All      -0.000922804017220651      0.0002446619041310262      0.002745753049630417      0.000502812406889591      
Lambda        AB|SDSS|SDSS_i            6158.485677177978    All      5.036026794954802e-06      -5.730936488964402e-05     0.0003510720173307225     -4.641213456120469e-06    
MWEBV         All|All|All               All                  All      -0.5692013735810697        -3.1541060564785894        0.032234480650678396      -0.8405500192339991       
Redshift      All|All|All               All                  All      4.177397338534668          0.3770039845736761         -4.631604688597114        -1.444600389673875        
