#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5078.431387851692    All      0.4499710522475169         0.14778029277536797       -2.717035095955661         -0.2196822695824347       
Zeropoint     AB|SDSS|SDSS_z            7321.926107096197    All      0.24707964344548           0.06421525061293121       0.7073486495971698         -0.027999227308708966     
Zeropoint     AB|SDSS|SDSS_g            3886.452346552672    All      -0.9760281773884868        0.5196393636210384        0.987826046643811          0.5312702636481197        
Zeropoint     AB|SDSS|SDSS_i            6158.485677177978    All      1.2869738249480942         0.2579734277633805        1.124687981335526          -0.28498962336864714      
Check         All|All|All               All                  All      1.0079963432526042         0.989608334772718         0.10282758162084615        -0.0014008566116711085    
Lambda        AB|SDSS|SDSS_r            5078.431387851692    All      0.0002785387559629164      7.733142334758563e-05     0.0025902135722328887      5.004948755067592e-05     
Lambda        AB|SDSS|SDSS_z            7321.926107096197    All      8.813713387829762e-05      2.69257344259017e-05      0.000956744559359251       2.2756548918508622e-05    
Lambda        AB|SDSS|SDSS_g            3886.452346552672    All      -0.000600074841893348      0.0003485567363397663     0.0008745569663270184      0.00034802797479476085    
Lambda        AB|SDSS|SDSS_i            6158.485677177978    All      -0.00033934525155810297    -0.0001274545269003796    -0.00013593111050975447    6.295379886576124e-05     
MWEBV         All|All|All               All                  All      -0.3786830660748257        -3.1362446841644243       1.3489638726731368         -0.8380304780239018       
Redshift      All|All|All               All                  All      5.518372215676157          0.49882091755897306       7.176103073565088          -1.3147964746054617       
