#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|ACSWF|F850LP           4116.1816522839945    All      3.714447620294998         1.2179707274839302        0.07730457664801005        -0.8097349074300619       
Zeropoint     AB|ACSWF|F775W            3504.4242920758393    All      -2.7195206692221747       -0.21813865722073444      -0.07657018723704646       0.8113654385504772        
Check         All|All|All               All                   All      0.994926951072823         0.9998320702631958        0.0007343894109635846      0.001630531120415224      
Lambda        AB|ACSWF|F850LP           4116.1816522839945    All      0.0010402471990301498     0.00029861321868827195    -0.0008924185282237733     -0.0002813991266151579    
Lambda        AB|ACSWF|F775W            3504.4242920758393    All      -0.0034455586065550137    -0.0002946509318021784    -0.00044277652755593663    0.001006595208624649      
MWEBV         All|All|All               All                   All      -0.28871008179822444      -1.3107347189180274       -0.004883766927535435      -0.3331249880094057       
Redshift      All|All|All               All                   All      0.890589789502845         -0.8991354337588575       -3.134772801957057         -0.7228628980878891       
