#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6058.964643719219     All      1.2330014543424652         -0.05526574433449838      -0.5060468211389234        -0.44221355477947755       
Zeropoint     AB|PS|PS_i                7338.7184141187345    All      0.6008951891747556         -0.08781611645574117      0.5415747047582771         -0.20016793846208886       
Zeropoint     AB|PS|PS_g                4771.093333672657     All      -1.1402282736884595        1.2245327204984946        -0.04518052797027129       0.7682642546759046         
Zeropoint     AB|PS|PS_z                8433.97815520406      All      0.3060198546357899         -0.08218297998592305      0.014549439917870487       -0.12580116004982564       
Check         All|All|All               All                   All      0.9996882244645506         0.999267879722332         0.004896795566952857       8.160138451265841e-05      
Lambda        AB|PS|PS_r                6058.964643719219     All      -0.00017650553018178195    -5.152061234982677e-05    -0.0007058497553739825     9.212866887856535e-06      
Lambda        AB|PS|PS_i                7338.7184141187345    All      -8.880336491654293e-05     -1.789333928251655e-05    -0.00039618300031039183    5.417900518404788e-06      
Lambda        AB|PS|PS_g                4771.093333672657     All      -0.0003184979450053863     -9.473463427689922e-05    -0.0021546196154432922     -2.3263705728743962e-05    
Lambda        AB|PS|PS_z                8433.97815520406      All      0.000305748012253885       -7.069540390730832e-05    0.0001471248077189098      -0.00011605450081553833    
MWEBV         All|All|All               All                   All      -0.7054614767862435        -4.032896082424919        0.07160873739243011        -1.0806593513406884        
Redshift      All|All|All               All                   All      5.2685782648958925         2.0582447275060645        14.164007444528842         -0.4136366506480055        
