#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6058.964643719219     All      1.2300775430584263        -0.05617974595519826       -0.5400481839633792       -0.44307618573830865       
Zeropoint     AB|PS|PS_i                7338.7184141187345    All      0.593584902994733         -0.08781422820156592       0.48829088623402184       -0.20016393478248795       
Zeropoint     AB|PS|PS_g                4771.093333672657     All      -1.1351147718375456       1.230133816824619          0.09259563771466528       0.77457139772934           
Zeropoint     AB|PS|PS_z                8433.97815520406      All      0.31068429219712773       -0.08651103640211488       -0.03497629097818922      -0.130940417089008         
Check         All|All|All               All                   All      0.9992319664127414        0.9996288062657399         0.00586204900711873       0.00039086011953543        
Lambda        AB|PS|PS_r                6058.964643719219     All      -0.0002397510135991115    -6.281275435895404e-05     -0.000797755718747439     2.2034438362136252e-05     
Lambda        AB|PS|PS_i                7338.7184141187345    All      -7.413730153474203e-05    -1.228057734919842e-05     -0.0002987999745101941    6.814699569266129e-06      
Lambda        AB|PS|PS_g                4771.093333672657     All      -0.000245375645680039     -0.00019418048002984588    -0.0021917512793866866    -8.113184352631369e-05     
Lambda        AB|PS|PS_z                8433.97815520406      All      0.00031684908866199665    -7.271830431866348e-05     0.00013699818765667546    -0.00012078131637514517    
MWEBV         All|All|All               All                   All      -0.7055735282884128       -4.03149120013051          0.07524761489612342       -1.0800028497072733        
Redshift      All|All|All               All                   All      5.444856659034318         2.5967114141876912         15.44242508280563         -0.23861010048933373       
