#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_z          7452.444157338566    All      0.4254232083963339         -0.042768069574528056      0.21416580086904252        -0.14294806620579908       
Zeropoint     AB|DECam|DECam_r          5234.726450813756    All      0.28255284004103065        0.5833659911587574         0.0942265513561625         0.1021896379978896         
Zeropoint     AB|DECam|DECam_i          6359.538807847208    All      1.04228982736291           -0.06187385090523634       -0.2010121520295339        -0.36863268504761976       
Zeropoint     AB|DECam|DECam_g          3938.625924486489    All      -0.755106194204045         0.5205920506169193         -0.10655152441190173       0.41078198240277974        
Check         All|All|All               All                  All      0.9951596815962297         0.9993161212959123         0.0008286757837693698      0.0013908691472505064      
Lambda        AB|DECam|DECam_z          7452.444157338566    All      -6.309018040658075e-05     -1.8091022472567776e-05    -0.0002415734885446609     3.877390880584506e-06      
Lambda        AB|DECam|DECam_r          5234.726450813756    All      -4.5848070813930226e-05    2.0001291460929688e-05     -0.0011128641685830515     -2.8212712971015685e-05    
Lambda        AB|DECam|DECam_i          6359.538807847208    All      -0.0003434605344953753     -3.363248763202388e-05     -0.0005864567866487193     7.47503150138361e-05       
Lambda        AB|DECam|DECam_g          3938.625924486489    All      -0.0007643514868783        0.00045153784803639307     -0.00047584680937815823    0.00037482030033546753     
MWEBV         All|All|All               All                  All      -0.48802058834201256       -3.133514361963563         0.050976255737557666       -0.8594495200604252        
Redshift      All|All|All               All                  All      5.32330234991684           0.7584127345872105         0.2855672152187258         -1.4741911748679688        
