#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3593.3904934216625    All      -0.5159714955489503       0.17156862917140359        -0.3269485190441901        0.20936422723495107       
Zeropoint     AB|MEGACAMPSF|z           6488.051245593402     All      0.8125253729853799        -0.08198398318288724       0.558141194202677          -0.26646384774022813      
Zeropoint     AB|MEGACAMPSF|r           4600.766737627341     All      -0.4300896820762561       0.7811306493659131         0.708091426580526          0.42613317813801344       
Zeropoint     AB|MEGACAMPSF|i           5637.502746976239     All      1.1229680027532167        0.13024830876400273        -0.945758735351443         -0.36556633248611137      
Check         All|All|All               All                   All      0.9894321981133906        1.0009636041184322         -0.0064746336124299475     0.003467225146625008      
Lambda        AB|MEGACAMPSF|g           3593.3904934216625    All      -0.0010718229903621738    0.0003451728461324072      -0.00046690978798106944    0.00044072612232611545    
Lambda        AB|MEGACAMPSF|z           6488.051245593402     All      -9.545992075891738e-05    1.2705534041080954e-05     -0.0001548341100688685     2.832351196109555e-05     
Lambda        AB|MEGACAMPSF|r           4600.766737627341     All      -0.0003625516065270301    -0.00022911435552252203    -0.0026457815553729506     -7.46041765738066e-05     
Lambda        AB|MEGACAMPSF|i           5637.502746976239     All      -0.0002965747987242161    -5.638672024359861e-06     -0.0006907092103433583     6.3944288235445e-05       
MWEBV         All|All|All               All                   All      -0.4347988461460277       -2.6996795906587323        -0.07715259563059185       -0.7411891368449823       
Redshift      All|All|All               All                   All      6.036550385085242         1.011491685983934          9.157474532168152          -1.228170908206603        
