#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4324.407204857623    All      -1.0536176236974812       0.624237625781987         0.12915604798016123        0.5522962957826548        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5347.968745830494    All      0.4083263878676452        0.6811614187745896        -0.210983679611787         0.07945611296421157       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7507.964079466495    All      0.32118207713169034       -0.09783936028933127      0.07203035203517949        -0.13327468377596158      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6162.540652280556    All      1.2224649065496356        -0.1596490516667437       -0.16938497588645518       -0.45775885990645726      
Check         All|All|All                                All                  All      0.8983557478514901        1.0479106326005017        -0.17918225548290145       0.04071886506444761       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4324.407204857623    All      -0.0006606539123398284    0.00024962716420937086    -0.0011816226467469275     0.00024377810226217274    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5347.968745830494    All      -4.326778988249844e-05    0.00019576007228704469    -0.0013109270055181863     1.9358587105391403e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7507.964079466495    All      -0.0001460062421433329    5.603750949021283e-05     -0.00019364986123754526    5.717059304364887e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6162.540652280556    All      -0.0002703204667625586    9.105719115358967e-05     -0.0001920361649522685     0.00010914290010348127    
MWEBV         All|All|All                                All                  All      -0.8862670033707083       -4.018528183714576        -0.0018474909512455895     -1.0203629598059245       
Redshift      All|All|All                                All                  All      7.530893893508251         -2.0220743665885443       6.762821941389774          -2.809922362907621        
