#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4324.407204857623    All      -1.1390327814714656        0.7157173483949286        -0.0856079939918823        0.600332845175735         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5347.968745830494    All      0.4502313389505466         0.5890807329083536        -0.13874311345753143       0.03903634769189744       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7507.964079466495    All      0.4386637641622317         -0.14047968241719389      0.17663408839912048        -0.1807637056901453       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6162.540652280556    All      1.247740037436545          -0.16660206880514394      0.047412891948903704       -0.45858193486797694      
Check         All|All|All                                All                  All      0.9976023590778575         0.9977163300809444        -0.0003041271013895369     2.3552309510233016e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4324.407204857623    All      -0.0006098532328181998     0.00024141384890501757    -0.0008084757865293625     0.00024120713321455853    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5347.968745830494    All      4.765296092100153e-05      0.00017505754201995897    -0.0013363523285187522     -1.813540322739793e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7507.964079466495    All      -0.00016522637948376874    6.338542828524958e-05     -0.00035436369068605615    5.865276291369011e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6162.540652280556    All      -0.00033667130402522977    9.705283803412409e-05     -0.0006810602013948733     0.00011088563337728216    
MWEBV         All|All|All                                All                  All      -0.8713915039336588        -4.025961678082535        0.02159751311925134        -1.0265834901796542       
Redshift      All|All|All                                All                  All      7.213501721018981          -1.9062374053967268       6.833302376540229          -2.6656601631367094       
