#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6114.771962914899    All      0.987811295540667          -0.07604221413615164       0.016169276204847094      -0.3458105273083892        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.88922063923     All      -1.2339068367224013        0.782892553295067          -0.46786116806716294      0.6360594169355919         
Zeropoint     AB|CNIa02|SDSS_i                      7415.22975832722     All      0.6136699372395514         -0.06986918747990956       0.5754670106454807        -0.1969707310296515        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5423.174477693355    All      0.6353369997418012         0.3615461737462411         -0.10954833222975857      -0.09407131840750392       
Check         All|All|All                           All                  All      1.0029113957996185         0.9985273254252469         0.014226786553406257      -0.0007931598099527454     
Lambda        AB|CNIa02|SDSS_r                      6114.771962914899    All      -0.00034278208409101895    -6.763152500511203e-05     -0.000992695635405599     4.532614235678823e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.88922063923     All      -0.00010453383436590381    -5.256772330237706e-05     -0.0006148131443930948    -1.0509214891963262e-05    
Lambda        AB|CNIa02|SDSS_i                      7415.22975832722     All      -0.0002053667326211884     -1.9813468193219062e-05    -0.0006473830665789179    3.1551069806728855e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5423.174477693355    All      -0.00015872883023936517    -2.4823361502663165e-05    -0.0013028682575558644    -1.4523609950635652e-05    
MWEBV         All|All|All                           All                  All      -0.9124139084600369        -4.044827807162932         -0.0004582091202909311    -1.0203507079323695        
Redshift      All|All|All                           All                  All      4.76195477656436           0.24399357954942857        1.7095536433153757        -1.3953590709709203        
