#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6114.771962914899    All      0.946294252492924          -0.09068841473940381       -0.15756981687397653       -0.34481098766907575      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.88922063923     All      -1.0770394624152542        0.7757292032749774         -0.11546734400144947       0.598354931453431         
Zeropoint     AB|CNIa02|SDSS_i                      7415.22975832722     All      0.586793538899189          -0.11207333842389033       0.15365209359171714        -0.22078714674300132      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5423.174477693355    All      0.5417747303894869         0.4251414437586476         0.12056795016099457        -0.0326109047097013       
Check         All|All|All                           All                  All      0.9978230593663455         0.9981088938703309         0.0011828828772856986      0.00014589233165262366    
Lambda        AB|CNIa02|SDSS_r                      6114.771962914899    All      -9.30642999562788e-05      -2.3508928929168812e-05    -0.00029192296066477664    9.629291666461105e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.88922063923     All      -0.00023054363313813276    4.592442198680299e-05      -0.0007236281607953396     5.7762539770675646e-05    
Lambda        AB|CNIa02|SDSS_i                      7415.22975832722     All      -0.00010560785796729199    -1.4611282924336526e-05    -0.0003130121531056257     1.5672283409604146e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5423.174477693355    All      6.96330193175978e-06       -2.4044990302955025e-05    -0.0007629514808995195     -4.414744140649804e-05    
MWEBV         All|All|All                           All                  All      -0.8732323456859872        -4.053316179588329         0.025690290254159212       -1.0347114866897464       
Redshift      All|All|All                           All                  All      4.148436727404529          -0.39625831872118766       -0.700442583529702         -1.511614228035598        
