#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6078.200936292624     All      1.1971675301680937        -0.16259015337682925      0.06482166515069326        -0.4400251190290808        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4308.963258059745     All      -1.098845931904341        0.7223523587884806        -0.09800714368302224       0.5888505902306996         
Zeropoint     AB|CNIa02|SDSS_i                      7370.8809965832415    All      0.4832406683032848        -0.13460176063322393      0.11851348075717898        -0.19596289318331442       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5390.739734516697     All      0.41576500403893657       0.5728991281067408        -0.08508492606819192       0.04738680429852183        
Check         All|All|All                           All                   All      0.9973272706059738        0.9980595728851682        0.00024307615665808413     0.0002493823168262313      
Lambda        AB|CNIa02|SDSS_r                      6078.200936292624     All      -0.0001124636463352532    2.8787184268957234e-05    -0.0006687391444224729     1.6167285934309988e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4308.963258059745     All      -0.0005555821972365367    0.00029069071828548293    -0.0006616201863437487     0.0002461338599325492      
Lambda        AB|CNIa02|SDSS_i                      7370.8809965832415    All      -2.32849881552799e-05     -6.129363550951486e-06    -0.00047830354102163983    -1.5756338930174673e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5390.739734516697     All      1.898157496955309e-05     4.2780205810611485e-06    -0.0012688873633904516     -6.14140466361511e-05      
MWEBV         All|All|All                           All                   All      -0.8789601771025279       -4.028480568772963        0.00806116242585917        -1.0255426750547532        
Redshift      All|All|All                           All                   All      5.75282499248217          -1.6092938869540774       9.460367008876933          -1.9759115958371687        
