#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6078.200936292624     All      1.239410160804155         -0.22769026636353384      0.17464583936927514        -0.47008923360719806       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4308.963258059745     All      -0.9627059471133844       0.5824705639518868        -0.17926854331160036       0.49531489271387036        
Zeropoint     AB|CNIa02|SDSS_i                      7370.8809965832415    All      0.5420068884291463        -0.1497619883004897       0.13367130364665414        -0.21936674531923273       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5390.739734516697     All      0.0982114099432162        0.9899972246521616        -0.1727459028077971        0.2827751224834779         
Check         All|All|All                           All                   All      0.916922512063133         1.1950155339400248        -0.0436973031034682        0.08863403627091748        
Lambda        AB|CNIa02|SDSS_r                      6078.200936292624     All      0.00017677911317014427    6.459806186205687e-06     -3.968710804512358e-05     -5.7249654979192356e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4308.963258059745     All      -0.0009332161155571166    0.0005267320639586446     -0.00043456217295436843    0.0004561606390296458      
Lambda        AB|CNIa02|SDSS_i                      7370.8809965832415    All      7.274715250002835e-05     0.00014378694459851583    -0.00029126313347559423    1.0142261502387966e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5390.739734516697     All      2.138278373935677e-06     0.00023217245741551557    -0.0009923267086091305     3.064671660004202e-05      
MWEBV         All|All|All                           All                   All      -0.9385838801171009       -3.7148794695920806       -0.025636661190286958      -0.9054748573478988        
Redshift      All|All|All                           All                   All      4.270072516632127         -0.3959577566915229       4.248090270378446          -1.3303068098637794        
