#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|SWOPE|SWOPE_g 4795.396900152232 All 1.9107881424703517 0.9819711902137325 11.757760589661826 0.2221486151553913
Zeropoint Linear_AB11_off|SWOPE|SWOPE_V-LC-9844 5362.439838502386 All 1.1519731686124053 0.8367205287682511 4.564652371915589 0.10101131436751842
Zeropoint Linear_AB11_off|SWOPE|SWOPE_r 6207.41673089196 All -1.4370587741475582 -1.2151251065662176 -5.690379094580949 -0.18164438709324093
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1 5417.622534790623 All 0.7181943854112696 0.36998612575374334 2.6139257505333315 0.00322461503763527
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1 4376.192228674142 All 0.19578404124211338 0.2065047167963625 1.027949545567206 0.049364743744936934
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1 7617.606489716122 All 2.6194615786146245 0.845260944235779 11.376880765391 -0.07021757964829911
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1 6256.8105468047415 All 0.48486791927627276 -0.03587332298994905 -0.03698200360985915 -0.17127289145302038
Zeropoint Linear_AB11_off|SWOPE|SWOPE_i 7589.517447634721 All 6.849862356369624 1.7201068131119683 35.39720849022798 -0.09131530296300383
Zeropoint Linear_AB11_off|SWOPE|SWOPE_B 4389.755720323733 All 0.8772865293758207 0.6032574209198565 4.877710756585019 0.12840953263719335
Check All|All|All All All 13.371159347224923 4.3128093102435265 65.88872717169114 -0.010291340214888978
