#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|SWOPE|SWOPE_g 4795.396900152232 All 76958.1890644699 11.840813676753235 561653.9142176462 0.07752346071214745
Zeropoint Linear_AB11_off|SWOPE|SWOPE_V-LC-9844 5362.439838502386 All 115242.19526677977 12.221879812629714 841093.9303075104 -0.034180729057894835
Zeropoint Linear_AB11_off|SWOPE|SWOPE_r 6207.41673089196 All -1.0119085418450577 -0.9076310791489768 -3.2451039146787926 -0.11084748326218682
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1 5417.622534790623 All 23.560465578509643 2.937307422083564 149.11650795050898 -0.0632562108164004
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1 4376.192228674142 All 0.12589842329252116 0.4017011438942757 0.8185932771235024 0.12636807803507308
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1 7617.606489716122 All 0.9946937935718447 0.36808450352401856 2.932115675888097 -0.0732604047072172
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1 6256.8105468047415 All 0.26428136960255344 -0.27895149217090065 -1.7810701670685836 -0.2564297963067916
Zeropoint Linear_AB11_off|SWOPE|SWOPE_i 7589.517447634721 All 1.2534012260717806 0.5168500081944654 3.5389271268515756 -0.0819928995109607
Zeropoint Linear_AB11_off|SWOPE|SWOPE_B 4389.755720323733 All -0.3339763035086881 0.13304994617808052 0.3062207170413616 0.16579103841089093
Check All|All|All All All 192225.23718679536 27.233103941937475 1402899.5307158222 -0.2502849465033401
