#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5391.267772496374    All      0.6100283612319612         0.19848766629557701        0.14447488555068666        -0.1276050930345082        
Zeropoint     AB|CNIa02|SDSS_r                      6078.796313012801    All      1.1997302252262922         -0.09472108724377648       -0.03607903997504448       -0.4232554205037948        
Zeropoint     AB|CNIa02|SDSS_i                      7371.602994917709    All      0.4673752558348877         -0.07185953569424086       0.09816459075753033        -0.17126587706688826       
Zeropoint     AB|CNIa02|SDSS_g                      4652.017599654585    All      -0.5633340314358757        0.5153578696209138         -0.32470122185377687       0.3368755158510821         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4309.385333018905    All      -0.7148063831223856        0.4497635505002151         0.11834251625265045        0.3846198235665192         
Check         All|All|All                           All                  All      0.99899342773488           0.9970284634786886         0.0002017307320460876      -0.0006310511875899372     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5391.267772496374    All      9.034859405312751e-05      -1.0643255142260553e-05    -0.0006877739602943111     -6.35885608324784e-05      
Lambda        AB|CNIa02|SDSS_r                      6078.796313012801    All      -5.7872739204519336e-05    -3.324519641345977e-05     -0.00037184919815745247    -8.571920963033037e-06     
Lambda        AB|CNIa02|SDSS_i                      7371.602994917709    All      -4.530789551939964e-05     -3.055685009992573e-05     -0.0003469767431446312     -1.0679077651902466e-05    
Lambda        AB|CNIa02|SDSS_g                      4652.017599654585    All      -7.274731166309759e-05     -7.90271138180271e-06      -0.0001241720884970996     1.5580789627749915e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4309.385333018905    All      -0.00033497167191996936    0.00010116401229337823     -0.0005525085062161552     0.00011740782373346396     
MWEBV         All|All|All                           All                  All      -0.872206007875675         -4.029689615502807         0.01491580274603873        -1.0278306653586076        
Redshift      All|All|All                           All                  All      3.9767365769644267         0.10307265875617588        1.3187747018906335         -1.202928919885744         
