#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5391.267772496374    All      0.4787042851984915         0.23858545055475133        -0.14428950460445567       -0.08465358201125428       
Zeropoint     AB|CNIa02|SDSS_r                      6078.796313012801    All      1.112349849045799          -0.06693480687349762       0.007775817385269335       -0.3837848107288322        
Zeropoint     AB|CNIa02|SDSS_i                      7371.602994917709    All      0.5033513979904733         -0.0794776703061828        0.15816334290688072        -0.1827884984750533        
Zeropoint     AB|CNIa02|SDSS_g                      4652.017599654585    All      -0.31751959062142426       0.3571165569844936         -0.18236216940878958       0.21161320208368528        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4309.385333018905    All      -0.7796344619847534        0.5486862038901918         0.1630513251198007         0.4399539730997909         
Check         All|All|All                           All                  All      0.9972514796285863         0.9979757342497564         0.0023388113987055092      0.00034028396833640784     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5391.267772496374    All      4.0779491011133374e-05     4.028302459408898e-05      -0.0006802009289496566     -3.0515958854445393e-05    
Lambda        AB|CNIa02|SDSS_r                      6078.796313012801    All      0.00014368446640891067     -1.5857169955970474e-05    -6.185711150693971e-05     -5.472835851509182e-05     
Lambda        AB|CNIa02|SDSS_i                      7371.602994917709    All      1.776405777007099e-05      -2.7769874518643663e-05    -0.0002059545249095265     -2.4022704300104163e-05    
Lambda        AB|CNIa02|SDSS_g                      4652.017599654585    All      -1.8390135014561456e-05    2.264169312878499e-05      -0.00015281251472261316    6.546095643761707e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4309.385333018905    All      -0.0005103707790111508     0.0002030202814212733      -0.0007521089339546892     0.00019881177084059667     
MWEBV         All|All|All                           All                  All      -0.8463930488069571        -4.034370648824925         0.03414237444405721        -1.036905568312421         
Redshift      All|All|All                           All                  All      3.743739003089346          -0.7242087123146668        2.7360583986415055         -1.3332598419511814        
