#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5447.200653832125    All      -0.5375878999348795       1.0685794022243345         -0.2695830183238532       0.5111512796901779        
Zeropoint     AB|CNIa02|SDSS_i                      7448.081295192911    All      0.9827895318110906        -0.3951577846884047        0.6447854894171823        -0.42006895910402         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4354.09398943019     All      -0.7083040433081779       0.5060742219469394         0.179927657815801         0.4035922978423069        
Zeropoint     AB|CNIa02|SDSS_r                      6141.862108886358    All      1.1404154180095654        -0.2834264384174334        -0.39614730905498313      -0.48147037060831643      
Check         All|All|All                           All                  All      0.8773130065775984        0.8960694010654358         0.15898281985414703       0.013204247820148396      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5447.200653832125    All      -0.000540362663591777     0.00047199518298139025     -0.0007260049600219851    0.00029735998926715156    
Lambda        AB|CNIa02|SDSS_i                      7448.081295192911    All      0.00016853821107499096    -0.00040766511906545344    0.00026096550672675473    -0.000176042689159244     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4354.09398943019     All      -0.000872188275748352     0.00033491856901419933     0.0005449308852161161     0.00041751217460493786    
Lambda        AB|CNIa02|SDSS_r                      6141.862108886358    All      0.0005520153284928511     -0.00044136916662057367    0.0005744728635904647     -0.0002979419259939841    
MWEBV         All|All|All                           All                  All      -0.8877033593982904       -4.395355280454272         0.271624171893009         -1.1304362897415765       
Redshift      All|All|All                           All                  All      6.670167292036981         -4.082681872782246         -0.012577810378072707     -3.5031180211208546       
