#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5447.200653832125    All      0.13665763451080948        0.8779878082762149        0.4592757081035334         0.2619709921093126        
Zeropoint     AB|CNIa02|SDSS_i                      7448.081295192911    All      0.6093291747288274         -0.21608056884803162      0.16334943239598337        -0.2615735737259314       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4354.09398943019     All      -0.9804540478064682        0.6496354337584442        -0.22627489615087942       0.5208761631245088        
Zeropoint     AB|CNIa02|SDSS_r                      6141.862108886358    All      1.2285880427341884         -0.31127498646972285      -0.39562729738791164       -0.5192390778325913       
Check         All|All|All                           All                  All      0.9941208041673573         1.0002676867169047        0.0007229469607257233      0.002034503675298671      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5447.200653832125    All      -0.00026780969605809076    3.362473195611855e-05     -0.0016603109749713724     2.4095056821866862e-05    
Lambda        AB|CNIa02|SDSS_i                      7448.081295192911    All      0.00012576030226940015     -7.703304826431078e-05    -6.223427206460266e-05     -6.883369570246303e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4354.09398943019     All      -0.0008255547893761401     0.0005476795864215842     -0.00019470123447970402    0.000438618992401956      
Lambda        AB|CNIa02|SDSS_r                      6141.862108886358    All      0.00026557319463421935     -4.895293159395257e-05    7.263954045488822e-05      -9.920993784555448e-05    
MWEBV         All|All|All                           All                  All      -0.8621621540925437        -4.101875536022659        0.03729820606309502        -1.0536167842669288       
Redshift      All|All|All                           All                  All      6.413941350836273          -1.9278490436170692       0.6501754252647244         -2.6881812251439983       
