#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7810.992146177662    All      0.15568435797827987        -0.04781946807765891       0.005681491836731606       -0.06603435233690767      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5343.633329929298    All      0.10900048108324789        0.3476550034335446         -0.4619170400005407        0.057124393443069264      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4319.851831101972    All      -0.3578965443410149        0.30498451870970555        0.25639074322092464        0.2273637116846864        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4320.901555395141    All      -0.6526472619462739        0.4376518404130003         -0.21224286500724007       0.3456748631443916        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6317.08142975604     All      0.48814328871837975        -0.09628729385608992       -0.29999973961293247       -0.2037558784695249       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7501.877629002269    All      0.3379650459161881         -0.06055478959217098       0.27285155463303656        -0.11763490961681859      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6157.544890710989    All      0.8153581840906263         -0.018285029457931756      0.27586716830836544        -0.25923433599032963      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5324.528140564417    All      0.10110569859351606        0.12952374692227764        0.16610400190111815        0.01666915198345758       
Check         All|All|All                                All                  All      0.9967132500929494         0.9968685284946766         0.0027353152794632185      0.00017264384202397148    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7810.992146177662    All      -1.5105389559244494e-05    8.227310126799928e-06      3.407068166516751e-05      9.120645952499144e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5343.633329929298    All      -1.3849977907908278e-05    -3.861027212726278e-06     -0.0008013743196471004     -3.250792543858983e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4319.851831101972    All      -0.00012534729954761137    8.792096975184725e-05      -2.788058497523094e-05     6.822430917193876e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4320.901555395141    All      -0.00034420376681213393    0.00014804271585326388     -0.0005180812271577874     0.00013722128812533583    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6317.08142975604     All      -0.0001638440209027233     2.7149344667657893e-06     -0.0002681394387818827     4.228789975777562e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7501.877629002269    All      -0.00010694934415377325    1.0548971512685705e-05     -0.00019022832956398994    2.9784050331007274e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6157.544890710989    All      -0.0002012250450596738     -4.0196888303764745e-07    -0.0002927730037208456     5.234956829540075e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5324.528140564417    All      1.2580501132408458e-06     2.959099482922646e-05      -0.00024491239868734195    -1.70034329126392e-06     
MWEBV         All|All|All                                All                  All      -0.8437566776937739        -4.024194311134988         0.035332276979420034       -1.0343964532557113       
Redshift      All|All|All                                All                  All      5.689245764675825          -0.4461450315578652        2.9989409239810403         -1.8646696708952077       
