#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7810.992146177662    All      0.12907224797006853        -0.04325406598875148       -0.009190266724579121      -0.0565424692182695       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5343.633329929298    All      0.08628102420469222        0.3548704091206112         -0.5063312861956826        0.06489315918798387       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4319.851831101972    All      -0.33678095768148275       0.3035243996682091         0.32121307037339397        0.22290278436183936       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4320.901555395141    All      -0.5817445140713252        0.404596364684906          -0.18928021629265324       0.31283696714141296       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6317.08142975604     All      0.4818138492419636         -0.08864513392330409       -0.22140213845067702       -0.195697418935834        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7501.877629002269    All      0.3198932241974997         -0.056242300667985745      0.23512687038650393        -0.11202708261320339      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6157.544890710989    All      0.7977377367979881         -0.006918574593495208      0.20096063879707637        -0.25313508269585794      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5324.528140564417    All      0.08852226517069588        0.13368970230986932        0.16082030699592353        0.02188919192104722       
Check         All|All|All                                All                  All      0.9847948758300998         1.001620800610059          -0.008083021110694144      0.005120049149118573      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7810.992146177662    All      -1.3598753626174935e-05    6.17702248601845e-06       1.708173245605902e-05      7.2039001494050395e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5343.633329929298    All      -2.8471407976062458e-05    -2.096899548691028e-06     -0.0009945242971957646     -3.579000660861509e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4319.851831101972    All      -0.00012811175986439271    9.179282113164132e-05      7.956883260869465e-06      7.198523583152221e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4320.901555395141    All      -0.00031549169490046854    0.00013306907052027976     -0.0006256080399539114     0.00011819298499904313    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6317.08142975604     All      -0.0001561699775611173     1.2823872034259468e-05     -0.00018011818562766854    4.7009009174067156e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7501.877629002269    All      -0.00011142627169270482    1.209812995942697e-05      -0.00015955467175755443    3.31157692577677e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6157.544890710989    All      -0.00013869139745632713    -1.9036457544465806e-06    -0.00014368663797623618    3.814419618864371e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5324.528140564417    All      -4.9458682781750355e-05    4.822513990984912e-05      -0.00015997171518000833    2.4680031827992943e-05    
MWEBV         All|All|All                                All                  All      -0.8397356409594554        -4.0242404171997315        0.04488358669402226        -1.0352950243854055       
Redshift      All|All|All                                All                  All      5.829808090704308          -0.4745339816493832        3.8377468324670594         -1.8822706046598385       
