#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|CNIa02|SDSS_i 7384.30985641614 All -0.041739670155696525 0.007152426457956551 -0.03316634609620506 0.014445702670512373
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4316.8136715509445 All -0.012628206489787644 0.014631788517877276 0.05105516534252974 0.011157834742537946
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5400.5610148119595 All 0.03176614083272032 0.043069682370821205 0.04134261945676743 0.005526866581002612
Zeropoint AB|CNIa02|SDSS_r 6089.274688324098 All 0.07061290865844981 0.007111197933098445 -0.019665502970663606 -0.021562177404668495
Zeropoint AB|CNIa02|SDSS_g 4660.036553383893 All -0.002711214316249015 -0.0037810434998650777 -0.02839566743195321 -0.0016156467823432094
Check All|All|All All All 0.045299958529436954 0.0681840517798884 0.011170268300475295 0.007952579807041227
