#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7384.30985641614      All      0.5071836490926918         -0.07909211680052763       0.2067324155483532         -0.18174378663292998      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4316.8136715509445    All      -0.8302885542608417        0.5085842915957706         -0.3832312228185969        0.4190130841467311        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5400.5610148119595    All      0.48781515659079777        0.24414708048574596        -0.17772789983504098       -0.08730188872392587      
Zeropoint     AB|CNIa02|SDSS_r                      6089.274688324098     All      1.1767791741157487         -0.09615042782815664       -0.12832589780921944       -0.42036164493282363      
Zeropoint     AB|CNIa02|SDSS_g                      4660.036553383893     All      -0.34085965584660227       0.419227118551202          0.4848933945231143         0.2692238336962446        
Check         All|All|All                           All                   All      1.0006297696917945         0.9967159460040342         0.002340789608610172       -0.0011704024467038       
Lambda        AB|CNIa02|SDSS_i                      7384.30985641614      All      -7.470607587962604e-05     -2.0876493586622303e-05    -0.00033551176887569546    2.5617165983822357e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4316.8136715509445    All      -0.00032684208466510195    8.252720548007061e-05      -0.0007519900142361007     9.978718507974813e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5400.5610148119595    All      4.618094319034917e-05      -4.3335216763996525e-06    -0.0005857666567539645     -4.259429864561628e-05    
Lambda        AB|CNIa02|SDSS_r                      6089.274688324098     All      -0.00013755085858242606    -3.322575048955097e-05     -0.0005019153902978676     1.1583941244973036e-05    
Lambda        AB|CNIa02|SDSS_g                      4660.036553383893     All      -7.0265150645152595e-06    -3.6073582715083236e-05    -0.0001921999642580964     -1.803858721626293e-05    
MWEBV         All|All|All                           All                   All      -0.8744124878646762        -4.036454736184503         0.019805374832438803       -1.0290973654618185       
Redshift      All|All|All                           All                   All      4.5766706681799905         -0.08353481042924216       2.9292244233036335         -1.3872644080184477       
