#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7416.009730371066     All      0.44196007172437446        -0.0783732321117725        0.08087974146144539        -0.16588038412245243      
Zeropoint     AB|CNIa02|SDSS_g                      4680.041479265932     All      -0.40390502975300546       0.4053796386765285         0.14008694604018823        0.2698620781879608        
Zeropoint     AB|CNIa02|SDSS_r                      6115.415146112319     All      1.1215090301189623         -0.10410715625486233       0.014948906653675098       -0.3985564124307072       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5423.7449151065375    All      0.688037041915015          0.24944328084952616        0.0036300782394083075      -0.14270242356569704      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4335.345186605959     All      -0.8483602922531264        0.5243725576320912         -0.2401607941426756        0.4364269775529873        
Check         All|All|All                           All                   All      0.9992408217522198         0.996715088791511          -0.0006151217479585802     -0.0008501643779085244    
Lambda        AB|CNIa02|SDSS_i                      7416.009730371066     All      -7.279422838748704e-05     -1.2997715174333514e-05    -0.00021575496268262862    9.849538542551598e-06     
Lambda        AB|CNIa02|SDSS_g                      4680.041479265932     All      8.719735043676309e-05      -3.5976620472338936e-05    -0.00016755278746682348    -4.7598925990898e-05      
Lambda        AB|CNIa02|SDSS_r                      6115.415146112319     All      -3.641013774572867e-05     -4.4549907862515155e-05    -0.00038992929904175806    -2.005214465325972e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5423.7449151065375    All      -2.9520755617510648e-05    -1.2540637735685263e-05    -0.000709093057439993      -2.61125833835354e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4335.345186605959     All      -0.0003565428812676523     8.794627967599013e-05      -0.0007111593343759033     0.0001130489681218709     
MWEBV         All|All|All                           All                   All      -0.8819764305122524        -4.059324711438705         0.01810926605025076        -1.0341587333803157       
Redshift      All|All|All                           All                   All      4.04092579890455           0.036632357855204134       0.4485986353691643         -1.2843112143334758       
