#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7416.009730371066     All      0.4445554318969461         -0.07609936139711948       0.08699083540870789        -0.1657123937599585       
Zeropoint     AB|CNIa02|SDSS_g                      4680.041479265932     All      -0.48669562591742815       0.474842506895623          0.11895695221998377        0.3185131059502244        
Zeropoint     AB|CNIa02|SDSS_r                      6115.415146112319     All      1.1492343037923456         -0.11185316835984338       -0.02615316708333169       -0.4119447739552461       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5423.7449151065375    All      0.6863535267860726         0.22371524859652325        0.02134634032806261        -0.14974391842495272      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4335.345186605959     All      -0.7942844647990146        0.48651979585674354        -0.2001080548681927        0.40827018147844163       
Check         All|All|All                           All                   All      0.9991631717589217         0.997125021591927          0.0010329060052299         -0.0006177987114912575    
Lambda        AB|CNIa02|SDSS_i                      7416.009730371066     All      -6.607672474889947e-05     -1.5079578292287814e-05    -0.00022589861223750064    6.530630807841716e-06     
Lambda        AB|CNIa02|SDSS_g                      4680.041479265932     All      -3.9241797363251766e-05    1.6220621754538799e-06     -0.0001777178511416952     5.379971964916419e-06     
Lambda        AB|CNIa02|SDSS_r                      6115.415146112319     All      -7.335434374762908e-05     -3.4559593245356125e-05    -0.0003842883236876029     -4.512296365774803e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5423.7449151065375    All      6.876249233332053e-05      -3.453722391498011e-05     -0.0006348321558266454     -6.197775947770393e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4335.345186605959     All      -0.0002829223336077117     5.992456918552018e-05      -0.0007025794067401193     8.032362347551648e-05     
MWEBV         All|All|All                           All                   All      -0.8898339477890729        -4.057715984768784         0.009787048212918972       -1.0314466486562024       
Redshift      All|All|All                           All                   All      3.9182510902551737         0.10021196193861215        0.41254243342216823        -1.225251079784275        
