#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      1.1972092549160354         0.012355635437799606      -0.9823347396955346       -0.4297828921226463        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.6363025975603658        0.4247583301390634        0.40502104729947314       0.36369668116594694        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      0.5682455633907953         -0.07060229377024996      1.0741288552749177        -0.16016032703204613       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.6632270161570841        0.35398580419769843       -0.010350209911935077     0.33087779856574834        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.5335945579221515         0.2760725976481915        -0.4749963096931726       -0.10508027840453572       
Check         All|All|All                      All                  All      0.9995197625115324         0.9965700736525029        0.011468643273748524      -0.00044901782753288544    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      -0.0002461994374531197     2.807180000629822e-05     -0.000541193137578798     6.518820117626143e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.00028737020495733746    3.241765077912372e-05     -0.0014965502537840282    3.7381260901644724e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      -0.000425079240324842      5.579371124500494e-05     -0.0009093562679943748    0.00011605574685818162     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.00039733464435315026    0.00015490824901284568    -0.000497122144392259     0.00015769940051604445     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.00017041710315904236     5.828675001602951e-05     -0.0005908232497982441    -6.289027308318316e-05     
MWEBV         All|All|All                      All                  All      -0.7749552623430134        -3.7947863761024436       0.08399550251095202       -0.9799100097444398        
Redshift      All|All|All                      All                  All      6.703469592128584          -0.22024459903891014      11.816263315404793        -1.7279759338622271        
