#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      1.1216781452107902         0.015599394613996509       -0.671158931831406        -0.3902369785855689       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.5784163842942288        0.3715738871328256         -0.11169392593373129      0.3044586982326167        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      0.46643918518201943        -0.04217202867415892       0.7293077037542339        -0.13312575193545548      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.6141458619716847        0.3439798311493547         -0.029277768794178094     0.31078652729519124       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.6762340171282681         0.29545522473766184        0.1985331293369308        -0.11517255819916833      
Check         All|All|All                      All                  All      1.0717891012551644         0.9844363089596797         0.11571020653184938       -0.023290063192384775     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      -0.00015731548294592286    2.3274204614847946e-06     -0.0005107681952390969    2.9207707055261033e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -5.7755727085222174e-05    -1.2060514210912887e-05    -0.0007246449998599412    -1.745314400863279e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      -0.0003887488162453126     3.704869543561025e-05      -0.0007177292026794181    0.0001066672999719357     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.00035877058263180034    0.00013074993331947598     -0.0003288188399025809    0.00014477926217740155    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      -0.00012575899894349304    0.000129989307645732       -0.001221401633583241     2.880009211345962e-05     
MWEBV         All|All|All                      All                  All      -0.759306649387177         -3.796505517245574         0.10770666672670348       -0.9845091382791007       
Redshift      All|All|All                      All                  All      7.043722286745067          -0.48243663190223884       9.803700170467389         -2.014023451235594        
