#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     VEGAHST|ACSWF|F775W          2849.5245073053084    All      0.009805666988029052       0.026413861131402427       0.41554446000793277       0.023953675949335562     
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    3318.7424901331547    All      -0.08936555917390315       0.1792870220116427         2.303709450338598         0.1903129563133335       
Zeropoint     ST|NICMOS2|F160W             5955.933193333329     All      1.8940063012070696         0.5358049874919502         3.453667253625081         -0.2882895439636754      
Zeropoint     ST|NICMOS2|F110W_faint       4277.533198274589     All      -0.8114067146209029        0.2622284103424022         -6.133396099475341        0.07601298349680236      
Check         All|All|All                  All                   All      1.0030396944002926         1.0037342809773975         0.0395250644962708        0.0019900717957960223    
Lambda        VEGAHST|ACSWF|F775W          2849.5245073053084    All      -0.00020821075545875655    0.0002159717750626141      0.0012857040865591775     0.0001955452737394065    
Lambda        VEGAHST|ACSWF|F850LP_3pix    3318.7424901331547    All      0.0001942686904041306      4.318703956435834e-05      0.007270305133435407      0.0002752280626843253    
Lambda        ST|NICMOS2|F160W             5955.933193333329     All      -0.0012704098835494204     -0.0003073599927163723     -0.0020278533858684535    0.0002232032498270586    
Lambda        ST|NICMOS2|F110W_faint       4277.533198274589     All      -0.00033166763494492564    -0.00012882988846897201    -0.0022478431490653783    -3.423998858176e-05      
MWEBV         All|All|All                  All                   All      -0.12028193163892875       -0.858043314752166         0.11568310454357356       -0.2351507484660481      
Redshift      All|All|All                  All                   All      1.5372521188860664         0.2252053310463964         -6.225179499100797        -0.7051779736861497      
