#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W          2849.5245073053084    All      -0.06720248919304198      0.09045321327914024       -0.30553939178833284      0.03771882924989597       
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    3318.7424901331547    All      -0.11006191174070784      -0.040808126220603924     2.6288821682623302        0.13987317347623557       
Zeropoint     ST|NICMOS2|F160W             5955.933193333329     All      1.9418721783756903        0.36854723481365426       3.204612353768846         -0.3694765638748222       
Zeropoint     ST|NICMOS2|F110W_faint       4277.533198274589     All      -0.7479393579996226       0.5750758770933118        -5.39906511147426         0.1900141090622022        
Check         All|All|All                  All                   All      1.0166684194423177        0.9932681989655023        0.12889001876858242       -0.00187045208648845      
Lambda        VEGAHST|ACSWF|F775W          2849.5245073053084    All      -0.0004840394423896663    0.0005810879309116799     -0.0024606362906891065    0.0002371401307742471     
Lambda        VEGAHST|ACSWF|F850LP_3pix    3318.7424901331547    All      5.4493381665282896e-05    -0.0007041267575908335    0.008957868966219413      0.00015264101274134955    
Lambda        ST|NICMOS2|F160W             5955.933193333329     All      -0.0011128637152413253    -8.266357102682507e-05    -0.0022970343690630274    0.00023306398555467933    
Lambda        ST|NICMOS2|F110W_faint       4277.533198274589     All      -0.0003418448999090335    3.4638935706921155e-05    -0.0026322369703482514    5.168524650893874e-06     
MWEBV         All|All|All                  All                   All      -0.12322404925366082      -0.8491934849811145       0.005444709882511765      -0.23622915650604218      
Redshift      All|All|All                  All                   All      2.0641655165720167        -0.29509976547679173      -1.0878940495223262       -0.8170380347991425       
