#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5396.463304236498    All      0.3581814729229462         0.6119678184223432         0.3163973255238095        0.09678592152969345        
Zeropoint     AB|CNIa02|SDSS_i                      7378.706963585538    All      0.5845873253649281         -0.15066306527060647       0.35113785395036734       -0.22382557154538574       
Zeropoint     AB|CNIa02|SDSS_r                      6084.654411797493    All      1.1386234665133783         -0.23518941136453364       -0.5167884406200973       -0.470557946007448         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4313.538261276772    All      -1.0848836489553588        0.7725347414138994         -0.15327336342355613      0.5981823907427464         
Check         All|All|All                           All                  All      0.9965086158458937         0.9986500832011025         -0.00252662456947661      0.000584794719606041       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5396.463304236498    All      -5.109326049532688e-05     2.885643203968586e-05      -0.0014992320798987103    -4.0861596876583255e-05    
Lambda        AB|CNIa02|SDSS_i                      7378.706963585538    All      -3.814372763017426e-05     -5.8243791968615794e-05    -0.0006712480467764127    -3.65019696243681e-05      
Lambda        AB|CNIa02|SDSS_r                      6084.654411797493    All      -0.00012278536098717823    8.5990825832449e-05        -0.0006345364804202992    3.9688823779168154e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4313.538261276772    All      -0.0006025476017009147     0.0003666456269615238      -0.0005399064656738415    0.00029160457422316684     
MWEBV         All|All|All                           All                  All      -0.8716656149871964        -4.032107695937626         0.04387931175827697       -1.0275018290682558        
Redshift      All|All|All                           All                  All      6.303502126024894          -1.3751642283636123        10.655162211940416        -2.0257033001148756        
