#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5396.463304236498    All      0.2694065997258179        0.5930464341206587        0.2401073137564586        0.11613502813663704        
Zeropoint     AB|CNIa02|SDSS_i                      7378.706963585538    All      0.5824282624130406        -0.16033263497305938      0.24430619632575795       -0.23103939690210787       
Zeropoint     AB|CNIa02|SDSS_r                      6084.654411797493    All      1.1724692235047536        -0.17133099024189136      -0.33443852929858836      -0.45264439487314384       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4313.538261276772    All      -1.0275245817636827       0.7375776512101417        -0.14985387797509128      0.5682645770981228         
Check         All|All|All                           All                  All      0.9967795038799294        0.9989604601158497        0.00012110280853691591    0.0007158134595081078      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5396.463304236498    All      6.57510650860357e-06      0.000101891802783079      -0.0012688449960429563    -2.557494077635492e-05     
Lambda        AB|CNIa02|SDSS_i                      7378.706963585538    All      4.4669019202345553e-05    -7.089590548952649e-05    -0.0005203452733381407    -6.0863917634917695e-05    
Lambda        AB|CNIa02|SDSS_r                      6084.654411797493    All      4.787536228414498e-05     5.718437455207343e-05     -0.0004329871346521973    -1.6289975628476414e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4313.538261276772    All      -0.0007704307956348045    0.0005386045219057435     -0.0005494744839833328    0.000401875346330564       
MWEBV         All|All|All                           All                  All      -0.858655333560141        -4.041963269685844        0.034279386732146234      -1.0353783909261889        
Redshift      All|All|All                           All                  All      5.608440347807514         -2.1473815895464377       8.68335057478484          -2.1388283089929736        
