#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                            8552.088543784806    All      0.421709620641826          -0.11417106646334219      0.18080812147384878        -0.16648533370138469       
Zeropoint     AB|PS|PS_g                            4837.90826693726     All      -1.2170470850207442        1.1269297051459404        -0.06294876524596406       0.7607012408234488         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.575899679714    All      0.20324982795063012        0.29516149176700424       0.115240940276599          0.035081326590966834       
Zeropoint     AB|PS|PS_r                            6143.815073172265    All      1.12787548637057           -0.19023143442264967      -0.3669965186433706        -0.4457281576050038        
Zeropoint     AB|PS|PS_i                            7441.490660812474    All      0.4649565278790147         -0.12025257435199777      0.13723225855665075        -0.1844978119898213        
Check         All|All|All                           All                  All      1.0007443778212965         0.997436121674955         0.0033360364177638935      -0.0009287358817941516     
Lambda        AB|PS|PS_z                            8552.088543784806    All      0.00045568510269803427     -0.0001171972437062881    0.00024297545558857537     -0.00017576374885625002    
Lambda        AB|PS|PS_g                            4837.90826693726     All      -0.0003653662093575891     2.522769983151725e-05     -0.001367372029759686      6.62097528052213e-05       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.575899679714    All      1.5472310291130206e-05     1.9303036535791365e-05    2.2856905675439507e-05     2.2677922873603814e-06     
Lambda        AB|PS|PS_r                            6143.815073172265    All      -0.00020955468665649423    -3.685219028406983e-06    -0.00038978057380512727    4.966434169927845e-05      
Lambda        AB|PS|PS_i                            7441.490660812474    All      -6.168579280375955e-05     -3.637376479710268e-06    -0.00018425390606355022    1.0685873352880423e-05     
MWEBV         All|All|All                           All                  All      -0.6921938009797941        -4.118073473986517        0.08596755987979654        -1.1120853802290522        
Redshift      All|All|All                           All                  All      4.3467872171966295         1.0424466394627352        3.061189331370608          -0.9397256154189317        
