#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                            8552.088543784806    All      0.42554285668444913        -0.11347909218200058       0.19496921716714022        -0.1668766013402448       
Zeropoint     AB|PS|PS_g                            4837.90826693726     All      -1.2439541551311897        1.1363704451639478         -0.13451980204781666       0.7693470317311357        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.575899679714    All      0.2000434969795777         0.2851840342913192         0.14684778449740588        0.03428621621755249       
Zeropoint     AB|PS|PS_r                            6143.815073172265    All      1.1573982335645132         -0.18899118640947066       -0.31697111338812034       -0.4527082939765982       
Zeropoint     AB|PS|PS_i                            7441.490660812474    All      0.45967915424172234        -0.12157052672971957       0.10744934984414645        -0.18453717265237587      
Check         All|All|All                           All                  All      0.9987095863390727         0.9975136741340762         -0.0022245639272444606     -0.0004888200205306059    
Lambda        AB|PS|PS_z                            8552.088543784806    All      0.000441772311766343       -0.00011567038902859998    0.00021790691218960523     -0.0001718532422882629    
Lambda        AB|PS|PS_g                            4837.90826693726     All      -0.00042579523174529464    3.934574282598134e-05      -0.0015155893232339426     8.387792745544816e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.575899679714    All      5.170019052804978e-05      2.0920817715350994e-06     1.712211394311459e-05      -1.539491177404169e-05    
Lambda        AB|PS|PS_r                            6143.815073172265    All      -0.00025479903090220066    2.3810090669373544e-06     -0.00047255703445909966    6.268394991799394e-05     
Lambda        AB|PS|PS_i                            7441.490660812474    All      -7.281411723037517e-05     -3.313384784506059e-06     -0.0002059423699676089     1.3448412951239966e-05    
MWEBV         All|All|All                           All                  All      -0.6885002904807598        -4.119457245937319         0.0831252828458251         -1.1138660559305151       
Redshift      All|All|All                           All                  All      4.615434593162393          1.0252142596528735         3.9521724946376846         -0.9930855706007026       
