#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4560.326348975203    All      -0.6264002286064616        0.49847225129289185       -0.11730788052353859       0.3611730619764263         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6011.511540702419    All      1.2325200724154104         -0.05961669338754305      0.0023736299630422743      -0.42078553045538003       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4235.46640884478     All      -0.6030977953083111        0.3891057060553038        -0.015194313594408149      0.32251527048898404        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5307.820966107508    All      0.4645489825659751         0.25128607732147756       0.04246168580278723        -0.06757187436140576       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7294.827695832841    All      0.5309366314400468         -0.0819384502561249       0.08840326975020249        -0.19568854519231071       
Check         All|All|All                      All                  All      0.9985076625066596         0.9973088910260053        0.0007363913980852343      -0.0003576175436861839     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4560.326348975203    All      -0.000208675097857719      5.6250159967505664e-05    -0.0005589569209041584     6.13511920721026e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6011.511540702419    All      -8.844431491207169e-05     -3.840041990568702e-05    -0.00039188628687248435    -1.1871421156826391e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4235.46640884478     All      -0.00030092631980529756    0.0001316720215487769     -0.0003053610846793284     0.00012728464910521383     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5307.820966107508    All      0.00017609955548867864     2.7948929958718895e-05    -0.0004847377932159041     -6.988915413698327e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7294.827695832841    All      -6.477990268812296e-05     -5.359577218969526e-05    -0.00045111915757687406    -1.6488336837004576e-05    
MWEBV         All|All|All                      All                  All      -0.819020320780949         -3.9448591123771415       0.004940838632252521       -1.0179680445288515        
Redshift      All|All|All                      All                  All      5.246481455910504          -0.4857536320006517       2.778247037252244          -1.743197147820065         
