#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4560.326348975203    All      -0.5922706335667167        0.47316756392206116        -0.1277035030814222        0.34134945197609873        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6011.511540702419    All      1.1657327970684526         -0.07692102985252802       -0.23606944847776035       -0.41530792878255174       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4235.46640884478     All      -0.6439393584905015        0.42237246860103994        -0.0012097342213079898     0.3472788578186392         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5307.820966107508    All      0.4872765814352956         0.24639938015731389        0.07733765618267441        -0.07501040468435027       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7294.827695832841    All      0.5814853013988518         -0.0677869029516387        0.2889038357185125         -0.19859686607721638       
Check         All|All|All                      All                  All      0.9982846878453816         0.9972314798762483         0.0012588061206963985      -0.00028688974938045897    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4560.326348975203    All      -0.0001972404962063361     6.83702154573494e-05       -0.0004484350928760189     6.65065485145508e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6011.511540702419    All      -9.057340608168102e-05     -6.184118540928567e-05     -0.0006330074645334658     -1.888918630901937e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4235.46640884478     All      -0.00032621311970303704    0.00015151964566228443     -0.0002666964067059185     0.00014371184288163215     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5307.820966107508    All      0.0001674938867281363      5.260016559068334e-05      -0.00047052001374819316    -5.8421812058943135e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7294.827695832841    All      -0.00015356949638968505    -6.0668132444360325e-05    -0.0007296545505091703     -2.3001008060037794e-06    
MWEBV         All|All|All                      All                  All      -0.8229088279392922        -3.943841550643512         0.0013165964267036756      -1.0165317097699549        
Redshift      All|All|All                      All                  All      5.158792931697387          -0.4835182707117802        3.519650646264827          -1.6808205419774873        
