#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4210.001422467943    All      -1.2384036469967374        0.6393621624239287        0.48799763628236387        0.6334271940036972         
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5266.9332717144      All      1.3558088820561043         0.5143193610355645        -1.244810037784606         -0.32965097595994497       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7649.048217267128    All      0.8872655906620751         -0.15683756939175453      0.7538363856514031         -0.3064584935568689        
Check         All|All|All                                All                  All      1.004670825721442          0.9968439540677387        -0.0029760158508390644     -0.002682275513116672      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4210.001422467943    All      -0.000733288930875938      0.0002052304583399059     -0.0010417502071503378     0.00025921811427890803     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5266.9332717144      All      0.0003070798368901603      1.9701227471511794e-05    -0.0024130420954619255     -0.00020129165358206266    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7649.048217267128    All      -0.00020581315634983686    3.77639786206069e-05      -0.00027237328465895197    6.718631758051053e-05      
MWEBV         All|All|All                                All                  All      -0.6962989487563407        -3.925114507262073        0.15987662618208082        -1.044596892742276         
Redshift      All|All|All                                All                  All      4.4920866071750885         -0.731012083849425        8.674780742423984          -1.3142194558020939        
