#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.9956358366435    All      -1.0470307463472799        0.8090864099455253         -0.01024150704851401       0.6041413908231787        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5410.797082594347     All      0.3700003643146162         0.3021293508175482         -0.42142261038460305       -0.040913977563439285     
Zeropoint     AB|CNIa02|SDSS_r                      6100.816124164617     All      1.1650234771762107         -0.05612592724881793       0.0464136345762034         -0.3956973083023091       
Zeropoint     AB|CNIa02|SDSS_i                      7398.305864610311     All      0.51005004533619           -0.055736818147611444      0.3919314466585888         -0.16680529488324913      
Check         All|All|All                           All                   All      0.9980431404797372         0.9993530153666441         0.006680963801675155       0.0007248100741812369     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.9956358366435    All      -0.00029739402319723973    5.271534938514336e-05      -0.0012173637026127006     5.971679000796192e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5410.797082594347     All      1.809660425892909e-05      3.1627882013038476e-06     -0.0006358850093950729     -3.324106265301311e-05    
Lambda        AB|CNIa02|SDSS_r                      6100.816124164617     All      0.00010068789033850037     5.508954974551286e-06      9.809978660232238e-05      -2.662516762196447e-05    
Lambda        AB|CNIa02|SDSS_i                      7398.305864610311     All      -8.663103708259237e-05     -1.1795778002249506e-06    -0.00015563918928583406    2.088888936488865e-05     
MWEBV         All|All|All                           All                   All      -0.8818435199574046        -4.0335314156830115        0.06928157594465745        -1.0235167165541332       
Redshift      All|All|All                           All                   All      4.3421655194221875         -0.29491553735008225       3.8624692677633687         -1.338085591885566        
