#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.9956358366435    All      -1.0657328624278821       0.8173958453403074         0.14880245233732295        0.6200373432372648         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5410.797082594347     All      0.39476204928879943       0.33014592013911326        -0.4866317567884975        -0.04276373935821185       
Zeropoint     AB|CNIa02|SDSS_r                      6100.816124164617     All      1.1843077524315762        -0.08928990190169017       -0.0545382687912057        -0.41728644858555747       
Zeropoint     AB|CNIa02|SDSS_i                      7398.305864610311     All      0.4843939847009411        -0.059615505520405065      0.3965302040362757         -0.15950646653693043       
Check         All|All|All                           All                   All      0.9977309239934345        0.9986363580573254         0.00416263079389545        0.000480688756565012       
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.9956358366435    All      -0.0002985757289292041    5.181377630948767e-05      -0.0010863669113891237     6.565382357602013e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5410.797082594347     All      3.390138542738037e-05     -2.0933539368402556e-05    -0.0006252830031855055     -4.5765047632637526e-05    
Lambda        AB|CNIa02|SDSS_r                      6100.816124164617     All      -9.019212192879947e-05    -3.689885490876224e-05     -0.00039927229062735936    -4.583181745638413e-07     
Lambda        AB|CNIa02|SDSS_i                      7398.305864610311     All      -9.770192162257081e-05    -6.12246214924932e-06      -0.00023396842367761844    1.9389506654556275e-05     
MWEBV         All|All|All                           All                   All      -0.8907386347865294       -4.0318286653080015        0.07316558328057221        -1.019891317788936         
Redshift      All|All|All                           All                   All      4.671343651371784         0.09040310589618628        4.336834524519379          -1.2986300376600792        
