#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5976.540404475079    All      0.843858346027448         0.2503762161236267        -0.4402417396704487        -0.2129626215761149        
Zeropoint     AB|PS|PS_z                8319.244983099317    All      0.31095803601962246       -0.09478424491256021      0.14573723277373524        -0.12566002607237164       
Zeropoint     AB|PS|PS_i                7238.884809224253    All      0.8577702416460913        -0.252363578514192        0.22875184105712681        -0.35139896349689154       
Zeropoint     AB|PS|PS_g                4706.188888521553    All      -1.0151106583963707       1.0952487042303893        0.0625753936321355         0.6902059255877403         
Check         All|All|All               All                  All      0.997475965296791         0.9984770969272638        -0.0031772722074511622     0.00018431444236222116     
Lambda        AB|PS|PS_r                5976.540404475079    All      -7.077398355483131e-05    2.3104254210460334e-05    -0.0005468194940128763     6.177187975741884e-06      
Lambda        AB|PS|PS_z                8319.244983099317    All      0.00028867632541702       -8.050887490151389e-05    1.3590435656647808e-05     -0.00011964928685132677    
Lambda        AB|PS|PS_i                7238.884809224253    All      -0.0005786976096568048    2.0275427756995194e-05    -0.0035138709126699068     3.829730370619633e-05      
Lambda        AB|PS|PS_g                4706.188888521553    All      -0.000265278653798568     9.86514580720377e-05      -0.00022762058861594214    0.00010838634893492562     
MWEBV         All|All|All               All                  All      -0.6665481003556333       -3.990577969414044        -0.01277092613642842       -1.0833157934655055        
Redshift      All|All|All               All                  All      6.220152418290927         -0.6282119396278318       9.341143932742895          -1.8138852244732842        
