#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5976.540404475079    All      0.7836817529455056         0.28462445847630136       -0.6250579581866145        -0.19045284519243338       
Zeropoint     AB|PS|PS_z                8319.244983099317    All      0.30468237609156046        -0.09826593816182339      0.22686453496474357        -0.12112960031375047       
Zeropoint     AB|PS|PS_i                7238.884809224253    All      0.938836732938231          -0.24643155289361118      0.40580770840779046        -0.367971540644943         
Zeropoint     AB|PS|PS_g                4706.188888521553    All      -1.0307982761387873        1.0591045570139457        -0.013555842631363113      0.6801451735219011         
Check         All|All|All               All                  All      0.9964025858365098         0.9990315244348125        -0.005941557445443557      0.0005911873707742377      
Lambda        AB|PS|PS_r                5976.540404475079    All      -8.224041148821384e-05     -5.665770128207295e-06    -0.000578830864933885      -8.876831061679859e-07     
Lambda        AB|PS|PS_z                8319.244983099317    All      0.00028993216436403314     -9.578561796609775e-05    0.00012029641568640896     -0.00012027269491240811    
Lambda        AB|PS|PS_i                7238.884809224253    All      -0.0007312714370616164     0.00011136742119360992    -0.004300681622417325      8.255552963649925e-05      
Lambda        AB|PS|PS_g                4706.188888521553    All      -0.00030251301631524096    0.00014907815835795172    -0.00012622850866071504    0.0001414651039044543      
MWEBV         All|All|All               All                  All      -0.6687679961290458        -3.9883311600847904       -0.0222250637354815        -1.0822827354030964        
Redshift      All|All|All               All                  All      6.654187226844161          -0.39406898907206056      9.02203206516492           -1.8932370758920611        
