#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.209163645397    All      -0.6442864565509956       0.35928340694351135       -0.5376221445482249       0.30290411390599353       
Zeropoint     AB|CNIa02|SDSS_r                      6105.349109610578    All      2.158586640563187         -1.7384118369031754       -4.864939017784374        -1.4864804960595512       
Zeropoint     AB|CNIa02|SDSS_i                      7403.802901748706    All      0.40616494683077975       0.297419788887332         2.2424954142946345        0.06465039537945189       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5414.817374949873    All      -0.9423943970368711       2.1012342364856273        3.2234201158052755        1.135256413481375         
Check         All|All|All                           All                  All      0.9780707338061005        1.0195255954132953        0.06335436776731163       0.016330426707269252      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.209163645397    All      -0.0006984099212287017    0.0003866659838372685     -0.0006025852646504479    0.0003265543074295958     
Lambda        AB|CNIa02|SDSS_r                      6105.349109610578    All      0.0008029741526390968     -0.000650062114779559     -0.0018203153342824527    -0.0005545340287346424    
Lambda        AB|CNIa02|SDSS_i                      7403.802901748706    All      7.361173339274193e-05     5.3663590288560806e-05    0.0004055049633339029     1.159805761321289e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5414.817374949873    All      -7.07971378990271e-05     0.00026401731276214313    -0.000630457362287001     8.092566515565182e-05     
MWEBV         All|All|All                           All                  All      -0.9058057112968774       -3.9541590439203134       0.47951366914499705       -0.9715504755539321       
Redshift      All|All|All                           All                  All      3.8580849487473876        -0.815164150436587        -0.7861360940426436       -1.55731262021753         
