#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4328.209163645397 All -0.3380729594713381 0.2186978080518056 -0.30059293994966996 0.16794447385994754
Zeropoint AB|CNIa02|SDSS_r 6105.349109610578 All 1.5968805148778922 -0.8409660392372267 -1.1704196586727527 -0.8463172792681715
Zeropoint AB|CNIa02|SDSS_i 7403.802901748706 All 0.4455772897606294 0.3822766544025402 3.2815942183840394 0.12582337868420984
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5414.817374949873 All -2.783101006138687 3.5105844940653785 3.5115072882271785 2.2067628660231886
Check All|All|All All All -1.0787161609715024 3.2705929172824977 5.322088907988795 1.6542134392991745
