#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4305.964919302071     All      -0.2829138654425012        0.18245373985150692       -0.16248887501255638       0.14433440697631528       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6334.29100163483      All      0.3832359179670529         -0.04141080585160495      -0.004726761623619069      -0.13853234207201748      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5314.89953542541      All      0.09114156088757519        0.18305940983385227       -0.13023421165483384       0.02412891268715467       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5360.405984125837     All      0.3246084127907685         0.3176637084947309        0.0788169215323542         0.001255118551757306      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6336.622728493159     All      0.8026462136955672         -0.09684942936392105      0.1674645023086896         -0.2855221518707485       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7851.2195447628565    All      0.2669432998538266         -0.05519382085488189      0.1131172518498591         -0.09988275478999276      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4432.25781869125      All      -0.7859855323296518        0.6080713449364339        -0.014350225447401499      0.4534498033810397        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8185.064796445872     All      0.1239462211936956         -0.020306661023727912     0.06393454427131573        -0.04413480444698803      
Check         All|All|All                       All                   All      0.9236222286163329         1.0774874860223882        0.11153314622380783        0.0550961884165202        
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4305.964919302071     All      -0.000247416715343966      0.0001235198066711999     -0.00030881298725736917    0.00010704532337488807    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6334.29100163483      All      2.4523255372698203e-05     -7.661073263346815e-06    1.546884581684637e-05      -9.793191126754745e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5314.89953542541      All      2.460204827372476e-05      9.819516110286154e-05     -0.0002501539295353332     1.2808477030226755e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5360.405984125837     All      4.350374499994843e-05      0.0001372614262683757     -0.0005048296351667992     8.011733306376472e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6336.622728493159     All      -2.740548513994911e-05     -3.93391936859187e-06     -4.553741998453926e-05     5.613335255203701e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7851.2195447628565    All      -2.2286639127136536e-05    1.2479273569757942e-05    2.694934988451714e-05      1.2527027241391963e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4432.25781869125      All      -0.00046027888814773315    0.0002787843490395105     -0.00033910298496101334    0.0002256046020350439     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8185.064796445872     All      -1.2650411471671903e-05    2.682278680612344e-06     -1.2417965482891214e-05    4.440204847273014e-06     
MWEBV         All|All|All                       All                   All      -0.8382180225671001        -4.09180726298457         0.0437848436376953         -1.0578471390355393       
Redshift      All|All|All                       All                   All      3.3548697384884525         -1.5496325346522788       1.7535789426054382         -1.519303569382341        
