#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4305.964919302071     All      -0.444024992277218         0.2792008563306858         -0.10626804124472583       0.2308361977059858         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6334.29100163483      All      0.5775285380236153         -0.08425861026823966       -0.034938140811262446      -0.21712497510846837       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5314.89953542541      All      0.19080840699843724        0.21496530499498512        0.06738163590152495        0.010875629353438703       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5360.405984125837     All      0.31281800707963126        0.2625202033862628         0.04775880529282348        -0.014252393279560793      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6336.622728493159     All      0.6945703751290525         -0.093750080806565         0.0030254436864329973      -0.25664689581451994       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7851.2195447628565    All      0.2184260688686035         -0.05162207707298805       0.038699736714300464       -0.08623657394518972       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4432.25781869125      All      -0.7050776969250266        0.5057242863177436         -0.04669220077156879       0.39231438167331123        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8185.064796445872     All      0.15184980833188555        -0.036000601561925194      0.03127761067489264        -0.05979328248578192       
Check         All|All|All                       All                   All      0.9968985152289807         0.9967792813199594         0.0002448494424174552      -2.7911900785049237e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4305.964919302071     All      -0.00025759188435757187    0.00012865449233194037     -0.00018379038124666981    0.000117611431419778       
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6334.29100163483      All      -0.00010688875567640632    -4.249378821279464e-06     -0.00014463229518687617    2.6978746714828935e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5314.89953542541      All      5.288139712270659e-05      4.546930817919608e-05      -0.00031201669996387487    -1.6338233497902727e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5360.405984125837     All      6.911564359013804e-05      -6.195366771065018e-06     -0.0006667390887010016     -5.428477704014342e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6336.622728493159     All      -0.0002015732789354923     -1.6759308159809956e-05    -0.000419887284859543      4.1462349429942986e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7851.2195447628565    All      1.3468862505444487e-06     7.892703499796801e-06      7.041007959458163e-05      5.274266499579817e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4432.25781869125      All      -0.00034436709034127547    0.00013262216095179033     -0.00047410392230479425    0.00013421401105449804     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8185.064796445872     All      -6.525747096232524e-06     2.1701274722881538e-07     -1.020699994123877e-05     1.7408471829028102e-06     
MWEBV         All|All|All                       All                   All      -0.8533122993085236        -4.094165500196301         0.006908472517108064       -1.0553442150335288        
Redshift      All|All|All                       All                   All      3.956196088138204          -0.511964009331134         -1.430865636748599         -1.519279703486611         
