#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5478.962181136139    All      0.4284729797113459         0.07879812538660325        0.058590712394689166       -0.1112859696178079        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4379.481832455992    All      -0.4353850164678572        0.25536274714252905        -0.10147158378804137       0.220471060791995          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4380.674506386866    All      -0.29128759594717907       0.18051640734380037        -0.04662309833294177       0.15160151101608027        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5489.793507070874    All      0.3511637501002224         0.052974731714927614       -0.013560131260510862      -0.09773509979413186       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7544.922478640507    All      0.1711995841317909         -0.029123095100147545      0.023106641323305872       -0.06422054376893992       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6217.609304187167    All      0.5604615188324804         -0.057348836805548586      0.016224843257372005       -0.20051711795171634       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4716.671896167571    All      -0.33021252141606156       0.2951588885732992         -0.07218415054907826       0.20048279523261794        
Zeropoint     AB|CNIa02|SDSS_g                      4727.687358531094    All      -0.29808434655629007       0.3183110809075407         0.05579674711868412        0.20327022209090895        
Zeropoint     AB|CNIa02|SDSS_r                      6177.674066893019    All      0.6294276177995448         -0.06333163296847744       0.04349257690433259        -0.22371360512447191       
Zeropoint     AB|CNIa02|SDSS_i                      7491.509553568775    All      0.2113301896067343         -0.034919023393165105      0.037104893398326635       -0.07855564905678458       
Check         All|All|All                           All                  All      0.9970861597947308         0.9963993928013615         0.00047745046613811154     -0.00020239618225031952    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5478.962181136139    All      3.476730689767905e-05      -2.3984265981906228e-05    -0.0003396124723322247     -3.429266501273618e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4379.481832455992    All      -0.00016752972877161177    4.163198379698507e-05      -0.0002972320895720045     5.4866747979554474e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4380.674506386866    All      -7.441488763509852e-05     2.2696634613776982e-05     -0.00010484036990245351    2.695387347629947e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5489.793507070874    All      3.073546771384694e-05      -6.756439956007492e-06     -0.0001326405533671573     -1.813148647594625e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7544.922478640507    All      -3.1755785415254986e-05    2.8496152751576487e-06     -2.2499480084515246e-05    1.0268069028936171e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6217.609304187167    All      -0.00012183662458036647    1.1617382345569828e-06     -0.00010476106433056438    3.538960814385542e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4716.671896167571    All      -4.9933081573486645e-05    -2.5927727426778282e-05    -0.00032460655335818687    -6.666366014124834e-06     
Lambda        AB|CNIa02|SDSS_g                      4727.687358531094    All      -0.00013012099365733687    -4.812474647235677e-05     -0.0006540562791411994     -2.4786524616821664e-06    
Lambda        AB|CNIa02|SDSS_r                      6177.674066893019    All      -9.548341446855837e-05     -2.5423668005793e-05       -0.00030833240956318743    9.061305000849736e-06      
Lambda        AB|CNIa02|SDSS_i                      7491.509553568775    All      -3.974302405912623e-05     -6.0504473457680935e-06    -0.00010231235946532146    6.409049989123484e-06      
MWEBV         All|All|All                           All                  All      -0.9139536041857368        -4.107650184637146         0.007724959044474758       -1.0399473163069433        
Redshift      All|All|All                           All                  All      5.492504833416955          0.623650704791956          1.279633067622515          -1.5288418235702657        
