#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          5125.406374705579     All      0.7145354516878113         0.33139943673816674       0.5124659850007728         -0.10193100163014288      
Zeropoint     AB|DECam|DECam_g          3174.2959719082687    All      -0.3553392123113063        0.1829448052145466        0.4931884501465407         0.1973455489237554        
Zeropoint     AB|DECam|DECam_z          6006.222455003868     All      1.1679129666505272         0.19620209159860735       0.675505265279794          -0.2863735028366737       
Zeropoint     AB|DECam|DECam_r          4218.875162414976     All      -0.5337686937484502        0.28860973467601525       -1.6714234742570926        0.19328775649877644       
Check         All|All|All               All                   All      0.9933405122785822         0.9991560682273359        0.009736226170014906       0.0023288009557152767     
Lambda        AB|DECam|DECam_i          5125.406374705579     All      1.5037818758031045e-05     2.7554074783308365e-05    -0.001137797636179597      -4.66977264271425e-05     
Lambda        AB|DECam|DECam_g          3174.2959719082687    All      -0.0009640781146037162     0.0004590450482432365     0.0010453283830634552      0.0005102062382171486     
Lambda        AB|DECam|DECam_z          6006.222455003868     All      -0.00019900016521928222    -4.457134635494109e-05    -0.00040926388612699214    3.2038979304541764e-05    
Lambda        AB|DECam|DECam_r          4218.875162414976     All      -0.0005922634597751454     7.76816282780532e-05      -0.0022672415679726317     0.00011704657760291465    
MWEBV         All|All|All               All                   All      -0.40073922310448706       -2.202033133399439        0.3720486759133235         -0.5701378637442432       
Redshift      All|All|All               All                   All      4.690566080658902          -0.08505765153294931      0.9433763677411802         -1.5134792084075928       
