#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          5125.406374705579     All      0.6460518814104607        0.31839329542044936        0.4013543822568577         -0.08881857837811785      
Zeropoint     AB|DECam|DECam_g          3174.2959719082687    All      -0.2950392199286611       0.15285522361487835        0.41828262512300096        0.16455998800827057       
Zeropoint     AB|DECam|DECam_z          6006.222455003868     All      0.935376631951625         0.20935204253156314        0.4201570058627091         -0.21774041681331296      
Zeropoint     AB|DECam|DECam_r          4218.875162414976     All      -0.28967390754192723      0.3176985089851314         -1.236113812581685         0.1426790958317159        
Check         All|All|All               All                   All      0.9967153858914973        0.9982990705520223         0.0036802006608827043      0.000680088648555649      
Lambda        AB|DECam|DECam_i          5125.406374705579     All      2.1132247791254272e-05    3.229590440886845e-05      -0.0011833587825485993     -4.917149726108924e-05    
Lambda        AB|DECam|DECam_g          3174.2959719082687    All      -0.0008092019331704065    0.0005227107193331852      0.001503846148834989       0.0005009575162521125     
Lambda        AB|DECam|DECam_z          6006.222455003868     All      -6.113177219625176e-05    -2.4924968411767576e-05    -0.00013609974436590234    5.7202406535360125e-06    
Lambda        AB|DECam|DECam_r          4218.875162414976     All      -0.0006414391776265412    5.134696105572427e-05      -0.002382825595351308      0.00011932867495737338    
MWEBV         All|All|All               All                   All      -0.47463893422216064      -2.182228583718171         0.2830934997806622         -0.5435849641778696       
Redshift      All|All|All               All                   All      3.694584793167476         -0.010512311537880237      0.31555919082304484        -1.1927900637011724       
