#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5039.338995627434    All      0.002569915128195488       0.4695690671161934        0.5139176019623157        0.17505076985564663       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r            5826.455681706914    All      0.5251518578804042         -0.005133613127394909     -0.33383120857772836      -0.18762877738858239      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5833.403849026716    All      0.7340883903137357         0.019965375641461947      -0.07931642227058025      -0.2361528874668871       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4125.261606456369    All      -0.6136321231842272        0.4243358712068712        0.3100178025040779        0.3519349945713867        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i            7070.26676862903     All      0.3129471181948787         -0.05423380690245949      0.021825707474968835      -0.11862892611507084      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g            4419.943168456375    All      -0.38641557778914265       0.19729882161581003       -0.6580822772354401       0.1607677939490871        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7132.229429830166    All      0.421671304335535          -0.054910865204860215     0.226199659881809         -0.1451442397839047       
Check         All|All|All                              All                  All      0.9963808848793793         0.996890850345622         0.0007308637394227713     0.000198727621675443      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5039.338995627434    All      -1.5473909700665965e-05    -5.327181308510724e-07    -0.0003224588393092998    -9.52301935360234e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r            5826.455681706914    All      -7.802596558592461e-05     -7.396319799964448e-06    -9.11111628320182e-05     1.894052654005657e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5833.403849026716    All      -0.0001012087512609418     2.8781438871725055e-06    4.209348777097614e-05     3.578296513769969e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4125.261606456369    All      -0.0003244813719997996     0.00016912683537295998    -0.0002689027241050903    0.00014878453881770758    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i            7070.26676862903     All      -0.00019665322958308857    1.8571076805264506e-05    -0.0002004294180132679    6.116139287313857e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g            4419.943168456375    All      -0.0001784767103870969     4.038451585286297e-05     -0.0006945288246272491    4.029667011922694e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7132.229429830166    All      -0.00022739819764908492    2.7790893679032395e-05    -0.0001751136954661202    7.530896255676184e-05     
MWEBV         All|All|All                              All                  All      -0.7650658691368504        -3.785803152153555        0.04375882734967191       -0.9820007568957003       
Redshift      All|All|All                              All                  All      5.6625379367511            0.9392218156827781        4.244135317490572         -1.3491431865055747       
