#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_V-LC-9844
@MAGSYS  Linear_AB11_off
56291.16490000021  19.194  0.028
56292.17589000007  19.121  0.021
56293.115929999854  18.974  0.018
56294.20434999978  18.901  0.019
56295.093069999944  18.843  0.012
56296.123300000094  18.794  0.015
56297.1300499998  18.763  0.013
56299.16324000014  18.745  0.014
56300.11418000003  18.748  0.013
56301.12413999997  18.772  0.012
56304.146129999775  18.829  0.013
56305.12293000007  18.884  0.014
56308.07676000008  19.011  0.016
56311.139359999914  19.088  0.021
56314.18824000005  19.305  0.035
56319.07887999993  19.574  0.039
56319.09461000003  19.556  0.038
