#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_r
@MAGSYS  Linear_AB11_off
56291.15157000022  19.176  0.022
56292.1691800002  19.084  0.018
56293.10332000023  18.958  0.015
56294.19773000013  18.908  0.013
56295.07906999998  18.781  0.012
56296.135799999814  18.74  0.015
56297.14301000023  18.736  0.011
56299.1757100001  18.662  0.011
56300.12068000017  18.656  0.01
56301.13066999987  18.63  0.016
56304.15242000017  18.664  0.017
56305.12931999983  18.717  0.012
56308.06355000008  18.907  0.015
56311.12648000009  19.005  0.016
56314.17513999995  19.199  0.024
56317.12026999984  19.312  0.021
