#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4713.3226702852435    All      -0.3106352412460932        0.2890322260853395         0.02807705529728029        0.1965843726081955         
Zeropoint     AB|CNIa02|SDSS_i                      7486.189964195832     All      0.13423912739951716        -0.024811598163454462      0.028132955206155764       -0.0505526093484457        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4376.372039316392     All      -0.21539428279342807       0.14014999199680744        -0.03982972547855465       0.11403504964158746        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7889.775710270468     All      0.10254429776780052        -0.021487748002346763      0.009293855702295338       -0.039986575745580726      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6365.397757832383     All      0.07351101025021035        -0.006506919365456554      0.023817985913203596       -0.025001584868259943      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5485.8953011097055    All      0.27753093223098446        0.08233826563435187        0.11110370512517995        -0.058622625079636136      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6213.194289009898     All      0.41562888254134883        -0.037504297203749815      0.07566904587182509        -0.1442236222998888        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5341.000212520968     All      0.05323009864710587        0.032978724001342385       0.037159044233905          -0.004938301493719381      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7539.564961687473     All      0.14269749289032577        -0.02678416002228623       0.028031511352707678       -0.0539548325268049        
Zeropoint     AB|CNIa02|SDSS_r                      6173.287409026435     All      0.32862057085946006        -0.0355660743419417        0.013936614262524124       -0.11800564464085861       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4327.1108693232145    All      -0.11908087897799223       0.06674499199479378        -0.06531456652638024       0.05761491054028402        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5475.071666309305     All      0.21757596323667067        0.05876842515006864        -0.11666517805676696       -0.05693507084051437       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6367.740935452744     All      0.3359157386925521         -0.04588895945101257       -0.049642195700544074      -0.12658165438258606       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5386.730136588216     All      0.19448347036755018        0.08705132289632544        -0.012379191500773839      -0.03554661130515659       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4454.0239742618005    All      -0.3141131801572069        0.21029322721362043        -0.09819528522088172       0.16643441475425622        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4377.563866350452     All      -0.32041080100820585       0.22732773119171767        0.027111640435155283       0.17962632799333544        
Check         All|All|All                           All                   All      0.9963432007005995         0.9961351496141191         0.00030727091633062434     -5.405699379254503e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4713.3226702852435    All      -1.690995705542014e-05     -6.964352308868971e-05     -0.0004914970357999271     -3.911031268334188e-05     
Lambda        AB|CNIa02|SDSS_i                      7486.189964195832     All      -2.4223333040136676e-05    2.789931978977566e-07      -3.7529875268412814e-05    6.306427793570644e-06      
