#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4713.3226702852435    All      -0.3295482589487557        0.2865958265882984         -0.052717759198495084      0.19834584772861902        
Zeropoint     AB|CNIa02|SDSS_i                      7486.189964195832     All      0.13358096409590048        -0.02247574776639283       0.04305161022730708        -0.048911609531319955      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4376.372039316392     All      -0.2174212580834118        0.1365168679026585         -0.054715989137821275      0.1128475685583677         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7889.775710270468     All      0.10602971271048535        -0.022014161733707738      0.0072640539799051496      -0.04138394105828863       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6365.397757832383     All      0.06250682551849408        -0.005040501243858131      0.02500773508868903        -0.020886406206906127      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5485.8953011097055    All      0.315500721469111          0.08458499179795353        0.16085437743857955        -0.06803865796810166       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6213.194289009898     All      0.4580425295962574         -0.037588238334507196      0.12715580412450134        -0.15576886735039347       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5341.000212520968     All      0.05074382893708404        0.02899610319317958        0.02748739594473637        -0.005857313517744489      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7539.564961687473     All      0.1665437821063133         -0.02878575562510477       0.05156466171035712        -0.06132416256583034       
Zeropoint     AB|CNIa02|SDSS_r                      6173.287409026435     All      0.3089861254879067         -0.031584949627294634      0.025719724712591763       -0.10978745043308674       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4327.1108693232145    All      -0.11539314922124055       0.06054706156692902        -0.08033349959752911       0.05372459978609384        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5475.071666309305     All      0.21809360531825506        0.05664393236219922        -0.11020588805439324       -0.05750745264479079       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6367.740935452744     All      0.32602859378369037        -0.04110279808231532       -0.03428922441547355       -0.12111694319574123       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5386.730136588216     All      0.19639742312332026        0.08508514561436087        -0.018103859611950934      -0.03706596295628556       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4454.0239742618005    All      -0.31801888890138363       0.2005030460267232         -0.142102542914313         0.1625582692341518         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4377.563866350452     All      -0.33608548330599375       0.23993920338583052        0.05298544753691292        0.1899946882750428         
Check         All|All|All                           All                   All      1.0259870736860326         0.9908200260249522         0.028622047833604114       -0.010177793846213867      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4713.3226702852435    All      -2.128081436911068e-05     -0.0001103839628222762     -0.0006061620257135769     -5.60740540638194e-05      
Lambda        AB|CNIa02|SDSS_i                      7486.189964195832     All      -2.7464718546078354e-05    2.0598082691856916e-06     -2.9255351598593004e-05    8.31157773493707e-06       
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4376.372039316392     All      -3.11240688898106e-05      -2.813812359455374e-06     -0.00014506626265584023    2.7479408946270715e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7889.775710270468     All      1.088099094341281e-05      1.1566883173721178e-06     2.8989026371709022e-05     -1.873878180168259e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6365.397757832383     All      -2.0473541826213476e-05    1.4267237188476715e-06     -5.840540216675753e-06     6.87300050012266e-06       
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5485.8953011097055    All      -4.763003743939964e-05     5.794566992504926e-06      -4.387390463397208e-05     1.5444260422491985e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6213.194289009898     All      -0.00013857730283491426    8.81255071076809e-07       -0.00014947722454597813    3.8755758352831294e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5341.000212520968     All      2.889980882346391e-05      -5.087209056916759e-06     1.0936062346637655e-06     -1.1021887239814897e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7539.564961687473     All      -3.784250659034055e-05     2.2558650526553262e-06     -5.147522631185954e-05     1.0764255908231637e-05     
Lambda        AB|CNIa02|SDSS_r                      6173.287409026435     All      -3.886797001373487e-05     -8.22480366202025e-06      -7.948209992289087e-05     6.434566339504423e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4327.1108693232145    All      -2.794109191759139e-05     1.2293208242159035e-05     -3.5632389673566276e-05    1.1515525333704185e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5475.071666309305     All      -1.3548471252723964e-06    -3.504440577285371e-05     -0.0004180252312269962     -2.9628343754293092e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6367.740935452744     All      -0.00011155658057456308    -4.457357944496254e-06     -0.00014150901049004221    2.8570843059586656e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5386.730136588216     All      9.598986609256626e-06      -1.6605986168566107e-05    -0.0003427020496624283     -2.382904025458483e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4454.0239742618005    All      -9.046340731164496e-05     9.778263218518262e-06      -0.0002895830199930136     1.972924976909458e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4377.563866350452     All      -7.529705679783973e-05     -1.2821392051480955e-05    -0.000299445172165034      6.987516664413395e-06      
MWEBV         All|All|All                           All                   All      -0.9023211408024281        -4.102554286450832         0.022901240610573304       -1.0413992428940575        
Redshift      All|All|All                           All                   All      3.990821510615417          1.0925213021282687         -0.6513635380229976        -0.9731390922463514        
