#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3583.534266041592    All      -0.30981015490689834       0.11299419387666987       -0.09801379963492174       0.13334738053211204       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6200.702951072523    All      1.1246438865377613         -0.19149741297677103      -0.21031379383753546       -0.43809585969715786      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7581.308823775845    All      0.31418613243039           -0.0639636882926009       0.19550071668099633        -0.11445153828589394      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5356.639963621825    All      0.7236680293284244         0.37588363054879004       0.2704567922571455         -0.10121557597407345      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4790.21032410455     All      -0.2853174637604554        0.46633552027186553       0.17155601157698985        0.2524938624164067        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4385.007875182179    All      -0.5741288069145392        0.29767205152042564       -0.3301738830541856        0.26924007702167474       
Check         All|All|All                              All                  All      0.9932416227146826         0.9974242949483791        -0.0009879560115111374     0.001318346013068239      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3583.534266041592    All      -0.0009665015972827749     0.00041270687935463234    -0.0009584160422158734     0.00040648386933349594    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6200.702951072523    All      -0.00021323901526647482    7.383624818052822e-06     -0.0007817149375419255     3.697970476914784e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7581.308823775845    All      -8.274027231244398e-05     6.26359136962294e-06      -0.00016334957227747307    2.1701945368095477e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5356.639963621825    All      9.235494805011121e-05      0.00016305070771748545    -0.0019285327816912828     -6.303362587111777e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4790.21032410455     All      -0.00039938999232200364    0.00016808211328397308    -0.0012891814648488878     0.00012731408629370654    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4385.007875182179    All      -0.0004335207554585057     0.0002082178340448072     -0.000593877008000537      0.00018253336788509426    
MWEBV         All|All|All                              All                  All      -1.0516314178898778        -4.037666073097057        -0.00276359821873573       -0.97277305151894         
Redshift      All|All|All                              All                  All      10.188984184484143         -2.634110921978916        14.077374986100644         -3.548695352888362        
