#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3583.534266041592    All      -0.3054349547766997        0.12628356286157327       -0.07692452377845042       0.1371921361174675        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6200.702951072523    All      1.1130079868758125         -0.19906200589612233      -0.16542164633363077       -0.4347663707881571       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7581.308823775845    All      0.3168877635622528         -0.06236731562005993      0.13279597871559834        -0.1176097817909693       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5356.639963621825    All      0.6523190448338008         0.3429059765347908        0.14117189621553758        -0.09448616238354439      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4790.21032410455     All      -0.2263944451374797        0.4594777815992046        0.10884482173883064        0.22826839326218376       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4385.007875182179    All      -0.5566041581826363        0.3314193950228361        -0.14133010665151824       0.2829515728319917        
Check         All|All|All                              All                  All      0.9937812371750504         0.9986573945022226        -0.0008635800936328819     0.0015497872489721454     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3583.534266041592    All      -0.0007712046332315714     0.0003312571251677661     -0.00031232165590562843    0.0003451705835636047     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6200.702951072523    All      -0.00012151372752203812    8.01741559757656e-06      -0.0004062135366348866     2.406511029336652e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7581.308823775845    All      -6.633010181974895e-05     9.457624894753856e-07     -9.953539355233323e-05     1.747215485099501e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5356.639963621825    All      0.00027882740624820233     0.00023639379223555908    -0.001163686737225116      -6.575201857084175e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4790.21032410455     All      -0.00028987400768280716    0.00029440549975682395    -0.0007148136112623001     0.00015842020934745798    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4385.007875182179    All      -0.00047215413045109114    0.0002606113450309568     -0.00044752145892085795    0.0002187149953126679     
MWEBV         All|All|All                              All                  All      -1.0582536085100709        -4.028633887147537        -0.007894977906327063      -0.9679028959643754       
Redshift      All|All|All                              All                  All      9.061394006090406          -3.6745415178726315       7.681193103747252          -3.8057368302116172       
