#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4348.121865209667    All      -1.129859330971751         0.5540090439830614         -0.3860013050308552        0.5312658619431875       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6196.335471212117    All      1.466175302499802          -0.24509548103557321       -0.4623532451268718        -0.5780498951523638      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7549.137079520675    All      0.3600576796108873         -0.3635824143922939        0.07242877747790255        -0.23248122198329269     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5377.296525656191    All      0.3014910572442906         1.0660422587839058         0.7680997729712321         0.2833162444419134       
Check         All|All|All                                All                  All      0.9978647083832288         1.0113734073391            -0.007825999708592324      0.004050989249444359     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4348.121865209667    All      -0.0008240366136085303     0.0006769841218659683      -0.0005285282996774633     0.0004653460450875199    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6196.335471212117    All      -0.00037673448324018337    -2.5249845998333723e-05    -0.00041288065494180545    9.606514251297143e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7549.137079520675    All      -5.7663792574980635e-05    -8.39129853012416e-06      -7.152946054558515e-05     1.285764102609489e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5377.296525656191    All      -0.00013048005742151978    0.0007325020634742864      -0.0010936919476546153     0.0002322952195658384    
MWEBV         All|All|All                                All                  All      -0.8905077012758786        -4.109716671740404         0.012113810433156218       -1.0480616867867047      
Redshift      All|All|All                                All                  All      9.644993288292374          -4.182661284627454         5.226770440818589          -4.270875251637682       
